Host city	Year	Winner	1st runner up	2nd runner up
Istanbul	1988	Neneng Robiah	Helena Kirsi	Sibel Tan
Istanbul	1989	Kao Arden	Marisabel Valdes	Aneta Rusewitz
Taipei	1990	Sharon Luengo	Nany Naegele	Eva Pedraza
Turku	1992	Celine Cassagnes	Meike Swartz	Sonia Bermudez
Istanbul	1993	Gemith Gemparo	Natalia Martinez	Dimitri Kostaki
Istanbul	1994	Isabelle De Silva	Irini Alexiou	Alexandra Koukoulyka
Istanbul	1995	Laura Marlen Cabrera	Tugba Ozay	Jakki Denell Aherne
Istanbul	1996	Carla Paneca Fernandez	Mercedes Mwajas	Yenni Vaca Paz
Istanbul	1997	Caroline Lubrez	Mari Carmen	Assel Isabaeva
Istanbul	1998	Abby Essien	Veronica Laskaeva	Woon Yeow
Antalya	1999	Michaella Walker	Rosana Pelaz	Thanyaluk Worapimrat
Istanbul	2000	Malgorzata Rozniecka	Alexandra Aguilera	Feza Gursoy
Istanbul	2001	Laura Keranen	Ksenia Saifutdinova	Oksana Dahan
Istanbul	2002	Yan Wei	Marta Gracia	Dimitra Alexandraki
Beijing	2004	Khemanit Jamikorn	Ma Li	Ling Zhang [ disambiguation needed ]
Shenzhen	2005	Catherine Abboud	Chien-An Lin	Elena Tihomirova
Shenzhen	2006	Di Song	Eleonora Masalab	Ana Maria Ortiz Rodal
Yuncheng	2007	Iveta Lutovská	Stephanie Thomas	Ria Antoniou
Shenzhen	2008	Mariia Iakimuk	Hommy King	Serap Tunç
Shenzhen	2009	Emene Nyame	Deyra Cimen	Iuliia Galichenko
Shenzhen	2010	Amanda Delgado	Ema Masters	Qing Qing Cao
