Date	Event	City	Oil Pattern	Winner (Title #)	Runner-up	Score
Sep. 23	Dydo Japan Cup	Tokyo	Standard	Mika Koivuniemi (8)	Mike Wolfe	200-178
Oct. 28	USBC Masters	Milwaukee	Standard	Sean Rash (4)	Steve Jaros	269-245
Nov. 4	Motor City Classic	Taylor, MI	Viper	Walter Ray Williams Jr. (43)	Eugene McCune	214-194
Nov. 11	Etonic Championship	Cheektowaga, NY	Scorpion	Mike Wolfe (3)	Walter Ray Williams Jr.	256-225
Nov. 18	Lake County Indiana Classic	Merrillville, IN	Chameleon	Michael Haugen Jr. (1)	Wes Malott	247-239
Nov. 25	CLR Windy City Classic	Vernon Hills, IL	Shark	Robert Smith (7)	Brad Angelo	223-205
Dec. 2	Great Lakes Classic	Wyoming, MI	Cheetah	Walter Ray Williams, Jr. (44)	Chris Loschetter	276-204
Dec. 9	Lumber Liquidators Championship	Baltimore, MD	Scorpion	Patrick Allen (10)	Wes Malott	247-217
Dec. 16	Spartanburg Classic	Spartanburg, SC	Viper	Parker Bohn III (31)	Rhino Page	267-257
Jan. 6	ConstructionJobs.com Classic	Reno, NV	Shark	Tommy Jones (11)	Patrick Allen	254-214
Jan. 13	Earl Anthony Medford Classic	Medford, OR	Cheetah	Wes Malott (3)	Rhino Page	255-193
Jan. 20	Motel 6 Dick Weber Open	Fountain Valley	Standard	Mike Scroggins (4)	Chris Barnes	226-171
Jan. 27	Tournament Of Champions	Las Vegas	T of C	Michael Haugen Jr. (2)	Chris Barnes	215-214
Feb. 3	PBA Exempt Doubles Classic	Las Vegas	T of C	Danny Wiseman (12) and Michael Fagan (1)	Joe Ciccone and Ronnie Russell	210-208
Feb. 10	Bayer Classic	El Paso, TX	Shark	Chris Barnes (9)	Tommy Jones	241-158
Feb. 17	Pepsi Championship	Elkhorn, NE	Scorpion	Mike Scroggins (5)	Walter Ray Williams Jr.	214-194
Feb. 24	Denny's World Championship	Indianapolis	World Championship	Norm Duke (28)	Ryan Shafer	202-165
Mar. 2	Don Johnson Buckeye St. Classic	Columbus, OH	Viper	Chris Barnes (10)	Ken Simard	209-197
Mar. 9	Go RVing Classic	Norwich, CT	Chameleon	Rhino Page (1)	Jack Jurek	244-220
Mar. 23	GEICO Classic	West Babylon, NY	Cheetah	Tommy Jones (12)	Pete Weber	257-191
Mar. 30	65th U.S. Open	North Brunswick, NJ	U.S. Open	Norm Duke (29)	Mika Koivuniemi	224-216
