Race	Date	Location	Pole Position	Fastest Lap	Race Winner	Constructor	Report
Brazilian Grand Prix	25 January	Interlagos	James Hunt	Jean-Pierre Jarier	Niki Lauda	Ferrari	Report
South African Grand Prix	6 March	Kyalami	James Hunt	Niki Lauda	Niki Lauda	Ferrari	Report
United States Grand Prix West	28 March	Long Beach	Clay Regazzoni	Clay Regazzoni	Clay Regazzoni	Ferrari	Report
Spanish Grand Prix	2 May	Jarama	James Hunt	Jochen Mass	James Hunt	McLaren - Ford	Report
Belgian Grand Prix	16 May	Zolder	Niki Lauda	Niki Lauda	Niki Lauda	Ferrari	Report
Monaco Grand Prix	30 May	Monaco	Niki Lauda	Clay Regazzoni	Niki Lauda	Ferrari	Report
Swedish Grand Prix	13 June	Anderstorp	Jody Scheckter	Mario Andretti	Jody Scheckter	Tyrrell - Ford	Report
French Grand Prix	4 July	Paul Ricard	James Hunt	Niki Lauda	James Hunt	McLaren - Ford	Report
British Grand Prix	18 July	Brands Hatch	Niki Lauda	Niki Lauda	Niki Lauda	Ferrari	Report
German Grand Prix	1 August	Nürburgring	James Hunt	Jody Scheckter	James Hunt	McLaren - Ford	Report
Austrian Grand Prix	15 August	Österreichring	James Hunt	James Hunt	John Watson	Penske - Ford	Report
Dutch Grand Prix	29 August	Zandvoort	Ronnie Peterson	Clay Regazzoni	James Hunt	McLaren - Ford	Report
Italian Grand Prix	12 September	Monza	Jacques Laffite	Ronnie Peterson	Ronnie Peterson	March - Ford	Report
Canadian Grand Prix	3 October	Mosport	James Hunt	Patrick Depailler	James Hunt	McLaren - Ford	Report
United States Grand Prix	10 October	Watkins Glen	James Hunt	James Hunt	James Hunt	McLaren - Ford	Report
Japanese Grand Prix	24 October	Fuji Speedway	Mario Andretti	Masahiro Hasemi	Mario Andretti	Lotus - Ford	Report
