Round	Pick	Player	Position	School/Club Team
1	11	Pat Harlow	Offensive tackle	Southern California
1	14	Leonard Russell	Running back	Arizona State
2	41	Jerome Henderson	Defensive back	Clemson
3	56	Calvin Stephens	Guard	South Carolina
4	84	Scott Zolak	Quarterback	Maryland
5	112	Jon Vaughn	Running back	Michigan
5	124	Ben Coates	Tight end	Livingstone
6	140	David Key	Defensive back	Michigan
7	168	Blake Miller	Center	Louisiana State
8	196	Harry Colon	Defensive back	Missouri
9	224	O'Neil Glenn	Guard	Maryland
10	251	Randy Bethel	Tight end	Miami (FL)
11	279	Vince Moore	Wide receiver	Tennessee
11	303	Paul Alsbury	Punter	Texas State
12	307	Tim Edwards	Defensive tackle	Delta State
