Year	NFL Team	Position	Team Defense Rank	Team Performance
1971	Minnesota Vikings	Defensive tackle	2	NFC Division champ
1972	Pittsburgh Steelers	Defensive tackle	8	AFC Championship
1973	Miami Dolphins	Safety	3	Won Super Bowl VIII
1974	Pittsburgh Steelers (2)	Defensive tackle	4	Won Super Bowl IX
1975	Pittsburgh Steelers (3)	Cornerback	4	Won Super Bowl X
1976	Pittsburgh Steelers (4)	Linebacker	1	AFC Championship
1977	Dallas Cowboys	Defensive end	1	Won Super Bowl XII
1978	Denver Broncos	Linebacker	6	AFC Divisional
1979	Tampa Bay Buccaneers	Defensive end	1	NFC Championship
1980	Oakland Raiders	Cornerback	11	Won Super Bowl XV
1981	New York Giants	Linebacker	3	NFC Divisional
1982	New York Giants (2)	Linebacker	7	4–5 no playoffs (strike season)
1983	Miami Dolphins (2)	Defensive end	7	AFC Divisional
1984	Seattle Seahawks	Safety	6	AFC Divisional
1985	Chicago Bears	Linebacker	1	Won Super Bowl XX
1986	New York Giants (3)	Linebacker	2	Won Super Bowl XXI
1987	Philadelphia Eagles	Defensive end	23	7–8 no playoffs (strike season)
1988	Chicago Bears (2)	Linebacker	2	NFC Championship
1989	Minnesota Vikings (2)	Defensive tackle	1	NFC Divisional
1990	Buffalo Bills	Defensive end	8	Lost Super Bowl XXV
1991	New Orleans Saints	Linebacker	2	NFC Wildcard
1992	Seattle Seahawks (2)	Defensive tackle	10	2–14 no playoffs
1993	Pittsburgh Steelers (5)	Cornerback	3	AFC Wildcard
1994	San Francisco 49ers	Cornerback	8	Won Super Bowl XXIX
1995	Buffalo Bills (2)	Linebacker	13	AFC Divisional
1996	Buffalo Bills (3)	Defensive end	9	AFC Wildcard
1997	San Francisco 49ers (2)	Defensive tackle	1	NFC Championship
1998	Green Bay Packers	Defensive end	4	NFC Wildcard
1999	Tampa Bay Buccaneers (2)	Defensive tackle	3	NFC Championship
2000	Baltimore Ravens	Linebacker	2	Won Super Bowl XXXV
2001	New York Giants (4)	Defensive end	14	7–9 no playoffs
2002	Tampa Bay Buccaneers (3)	Linebacker	1	Won Super Bowl XXXVII
2003	Baltimore Ravens (2)	Linebacker	3	AFC Wildcard
2004	Baltimore Ravens (3)	Safety	6	9–7 no playoffs
2005	Chicago Bears (3)	Linebacker	2	NFC Divisional
2006	Miami Dolphins (3)	Defensive end	4	6–10, no playoffs
2007	Indianapolis Colts	Safety	3	AFC Divisional
2008	Pittsburgh Steelers (6)	Linebacker	1	Won Super Bowl XLIII
2009	Green Bay Packers(2)	Cornerback	2	NFC Wildcard
2010	Pittsburgh Steelers (7)	Safety	2	Lost Super Bowl XLV
2011	Baltimore Ravens (4)	Linebacker	3	AFC Championship
2012	Houston Texans	Defensive end	10	AFC Divisional
