Week	Date	Opponent	Result	Attendance
1	September 13, 1964	Cleveland Browns	L 27-13	47,577
2	September 20, 1964	at Dallas Cowboys	L 24-18	25,158
3	September 25, 1964	at New York Giants	L 13-10	62,996
4	October 4, 1964	St. Louis Cardinals	L 23-17	49,219
5	October 11, 1964	Philadelphia Eagles	W 35-20	49,219
6	October 18, 1964	at St. Louis Cardinals	L 38-24	23,748
7	October 25, 1964	Chicago Bears	W 27-20	49,219
8	November 1, 1964	at Philadelphia Eagles	W 21-10	60,671
9	November 8, 1964	at Cleveland Browns	L 34-24	76,385
10	November 15, 1964	at Pittsburgh Steelers	W 30-0	31,587
11	November 22, 1964	Dallas Cowboys	W 28-16	49,219
12	November 29, 1964	New York Giants	W 36-21	49,219
13	December 6, 1964	Pittsburgh Steelers	L 14-7	49,219
14	December 13, 1964	at Baltimore Colts	L 45-17	60,213
