Position	Team	Points	Played	Drawn	Lost	Against	Difference
1	São Paulo da Floresta	45	26	5	1	30	62
2	Palestra Itália-SP	43	26	1	4	35	49
3	Santos	42	25	6	1	28	51
4	Atlético Santista	33	25	7	5	44	22
5	Portuguesa	32	26	4	8	35	20
6	Corinthians	30	26	8	7	47	19
7	Guarani	26	26	4	11	49	5
8	Juventus	23	26	3	13	64	- 17
9	Sírio	22	26	2	14	56	4
10	SC Internacional de São Paulo	19	26	5	14	51	- 16
11	AA São Bento	14	26	6	16	74	- 29
12	CS América	12	26	2	19	95	- 63
13	Ypiranga-SP	11	26	3	19	82	- 51
14	Germânia	10	26	2	20	91	- 56
