Season	Series	Team	Races	Wins	Poles	Podiums	Points	Position
2005	Formula BMW UK	Filsell Motorsport	14	0	0	0	2	23rd
2006	British Formula Ford Clubman class	Marque Cars Racing	6	4	6	4	158	7th
2007	British Formula Ford	Jamun Racing	24	14	17	23	680	1st
2007	Formula Ford Festival - Pre-finals	Jamun Racing	2	1	0	2	N/A	N/A
2007	Formula Ford Festival - Final	Jamun Racing	1	0	0	1	N/A	2nd
2008	British Formula Three National class	T-Sport	2	0	0	0	9	14th
2008	British Formula Three National class	Litespeed F3	2	0	0	1	9	14th
2009	European F3 Open	Team West-Tec	16	0	0	1	41	9th
2009	European F3 Open Copa F306/300 class	Team West-Tec	16	7	0	12	106	1st
2010	European F3 Open	Motul Team West-Tec	14	3	1	8	112	2nd
2011	GP3 Series	Carlin Motorsport	0	0	0	0	0*	N/A*
