Quarterback	Jersey No.	Games Started	Wins	Losses	Ties	Winning Pct.
Everett Golson	5	11	10	1	0	.909
Rees, Tommy	13 (2010) , 11 (2011-13)	27	21	6	0	.770
Crist, Dayne	10	10	4	6	0	.400
Clausen, Jimmy	7	34	16	18	0	.471
Sharpley, Evan	13	2	0	2	0	.000
Jones, Demetrius	3	1	0	1	0	.000
Quinn, Brady	10	46	29	17	0	.630
Holiday, Carlyle	7	24	15	9	0	.625
Dillingham, Pat	9	1	1	0	0	1.000
LoVecchio, Matt	10	10	7	3	0	.700
Godsey, Gary	14	2	1	1	0	.500
Battle, Arnaz	3	2	1	1	0	.500
Jackson, Jarious	7	23	14	9	0	.609
Chappell, Eric	8	1	0	1	0	.000
Powlus, Ron	3	46	29	16	1	.641
Krug, Tom	11	2	1	1	0	.500
Failla, Paul	5	2	2	0	0	1.000
McDougal, Kevin	15	11	10	1	0	.909
Mirer, Rick	3	36	28	7	1	.792
Rice, Tony	9	31	28	3	0	.903
Grooms, Scott	10	1	0	1	0	.000
Andrysiak, Terry	2	7	4	3	0	.571
Beuerlein, Steve	7	39	21	18	0	.538
Blair Kiel	5	29	18	9	2	.638
O'Hara, Jim	6	1	0	1	0	.000
Karcher, Ken	12	1	0	1	0	.000
Koegel, Tim	14	5	1	4	0	.200
Courey, Mike	2	4	4	0	0	1.000
Lisch, Rusty	6	13	8	5	0	.615
Montana, Joe	3	25	20	5	0	.800
Slager, Rick	11	18	15	3	0	.833
Clements, Tom	2	34	29	5	0	.853
