Player	Matches	Overs	Maidens	Runs	Wickets	Average	Economy	Best Bowling
Steven Patterson	1	8.0	1	18	2	9.00	2.25	2/18
Anthony McGrath	17	31.4	0	164	10	16.40	5.18	3/16
Tim Bresnan	16	111.1	14	485	24	20.21	4.36	4/31
Rana Naved-ul-Hasan	9	58.0	3	307	14	21.93	5.29	2/26
Matthew Hoggard	2	16.0	2	67	3	22.33	4.19	3/26
Deon Kruis	12	80.0	9	300	13	23.08	3.75	4/32
Darren Gough	17	105.2	3	511	21	24.33	4.85	3/17
Richard Pyrah	18	105.2	4	585	24	24.38	5.55	4/35
Adil Rashid	17	77.3	3	384	12	32.00	4.95	3/37
Ajmal Shahzad	2	16.0	0	55	1	55.00	3.44	1/30
David Wainwright	7	32.0	2	166	3	55.33	5.19	2/33
Adam Lyth	15	1.0	0	3	0	N/A	3.00	0/3
Jacques Rudolph	18	3.0	0	19	0	N/A	6.33	0/8
Total Bowling	151	645.0	41	3064	127	24.13	4.75	4/31
