Place	Player	Country	Score	To par	Money ( £ )
1	Nick Faldo	England	66-64-69-73=272	−12	95,000
2	John Cook	United States	66-67-70-70=273	−11	75,000
3	José María Olazábal	Spain	70-67-69-68=274	−10	64,000
4	Steve Pate	United States	64-70-69-73=276	−8	53,000
T5	Andrew Magee	United States	67-72-70-70=279	−5	30,071
T5	Robert Karlsson	Sweden	70-68-70-71=279	−5	30,071
T5	Malcolm MacKenzie	England	71-67-70-71=279	−5	30,071
T5	Ian Woosnam	Wales	65-73-70-71=279	−5	30,071
T5	Ernie Els	South Africa	66-69-70-74=279	−5	30,071
T5	Donnie Hammond	United States	70-65-70-74=279	−5	30,071
T5	Gordon Brand, Jnr	Scotland	65-68-72-74=279	−5	30,071
