Season	Series	Team	Races	Wins	Poles	F/Laps	Podiums	Points	Position
2005	Formula Renault 2.0 Germany	Novorace Oy	16	1	1	2	2	156	9th
2005	Eurocup Formula Renault 2.0	Korainen Bros. Motorsport	10	0	0	0	0	13	20th
2005	Formula Renault 2.0 Italia Winter Series	Korainen Bros. Motorsport	4	1	0	0	3	44	1st
2006	Formula Renault 2.0 NEC	Korainen Bros. Motorsport	12	0	0	1	2	149	11th
2006	Eurocup Formula Renault 2.0	Korainen Bros. Motorsport	14	0	0	1	2	54	9th
2006	Eurocup Formula Renault 2.0	Jenzer Motorsport	14	0	0	1	2	54	9th
2007	British Formula Three	Räikkönen Robertson Racing	22	1	2	1	5	126	7th
2007	Masters of Formula 3	Räikkönen Robertson Racing	1	0	0	0	0	N/A	11th
2007	Macau Grand Prix	Signature-Plus	1	0	0	0	0	N/A	NC
2008	British Formula Three	Räikkönen Robertson Racing	22	1	0	0	5	126	6th
2008	Masters of Formula 3	Räikkönen Robertson Racing	1	0	0	0	0	N/A	6th
2008	Macau Grand Prix	Räikkönen Robertson Racing	1	0	0	0	0	N/A	18th
2009	Formula 3 Euro Series	Motopark Academy	12	0	0	0	0	4	19th
2009	Masters of Formula 3	Motopark Academy	1	0	0	0	0	N/A	NC
