Place	Player	Country	Score	To par	Money ( $ )
1	Jimmy Demaret	United States	67-72-70-71=280	–8	1,500
2	Lloyd Mangrum	United States	64-75-71-74=284	–4	800
3	Byron Nelson	United States	69-72-74-70=285	–3	600
T4	Harry Cooper	United States	69-75-73-70=287	–1	400
T4	Ed Dudley	United States	73-72-71-71=287	–1	400
T4	Willie Goggin	United States	71-72-73-71=287	–1	400
T7	Henry Picard	United States	71-71-71-75=288	E	200
T7	Sam Snead	United States	71-72-69-76=288	E	200
T7	Craig Wood	United States	70-75-67-76=288	E	200
T10	Ben Hogan	United States	73-74-69-74=290	+2	100
T10	Toney Penna	United States	73-73-72-72=290	+2	100
