Name	Nation	Seasons	Championship Titles	Race Starts	Poles	Wins	Podiums	Fastest Laps
Alan Docking Racing	United Kingdom	2008 , 2009 , 2010 , 2011	0	118	6	7	23	7
Alpha Motorsport (with ADR )	United Kingdom	2010	0	20	0	0	3	1
Alpha Team (solo)	United Kingdom	2010	0	24	0	0	4	0
Atech GP / Reid Motorsport	United Kingdom	2010 , 2011	0	111	1	7	17	10
Azerti Motorsport	Belgium	2008 , 2009 , 2010 , 2011	0	112	3	5	18	4
Barazi-Epsilon	France	2009 , 2010	0	41	0	1	5	1
Delta Motorsport (with ADR )	United Kingdom	2009	0	6	0	0	0	0
Drivex	Spain	2010	0	8	0	0	0	0
EmiliodeVillota Motorsport	Spain	2010 , 2011	0	54	2	2	5	1
EuroInternational	Italy	2008	0	21	0	0	1	4
FMS International	Italy	2008	0	12	1	0	3	0
GTA Motor Competición	Spain	2008	0	24	0	1	4	0
GU-Racing International	Germany	2008 , 2009 , 2010	1 ( 2010 )	98	4	7	19	10
Hitech Junior Team	United Kingdom	2008 , 2009	1 ( 2009 )	46	3	6	12	2
LRS Formula / Laurent Rédon Motorsport	France	2010	0	11	0	1	1	1
Racing for Holland	Netherlands	2010	0	8	0	0	0	0
Reid Motorsport (solo)	United Kingdom	2009	0	8	1	2	4	0
Scuderia Playteam	Italy	2008	0	23	1	2	8	0
Team Astromega	Belgium	2008	0	24	0	0	4	1
Ultimate Motorsport	United Kingdom	2009	0	16	0	1	2	0
