Rank	Heat	Lane	Name	Nationality	Time
1	1	2	Ingrid Lempereur Category:Articles with hCards	Belgium	2:32.46
2	2	6	Sharon Kellett Category:Articles with hCards	Australia	2:33.23
3	1	4	Anne Ottenbrite Category:Articles with hCards	Canada	2:33.43
4	2	4	Susan Rapp Category:Articles with hCards	United States	2:33.46
5	3	4	Hiroko Nagasaki Category:Articles with hCards	Japan	2:34.46
5	3	5	Ute Hasse Category:Articles with hCards	West Germany	2:34.46
7	2	3	Susannah Brownsdon Category:Articles with hCards	Great Britain	2:35.54
7	3	3	Kim Rhodenbaugh Category:Articles with hCards	United States	2:35.54
9	3	6	Manuela Dalla Valle Category:Articles with hCards	Italy	2:35.75
10	2	5	Laura Belotti Category:Articles with hCards	Italy	2:35.99
11	1	3	Alicia Boscatto Category:Articles with hCards	Argentina	2:36.38
12	1	5	Mary Lubawski Category:Articles with hCards	Canada	2:36.65
13	1	6	Petra van Staveren Category:Articles with hCards	Netherlands	2:37.20
14	2	2	Annelie Holmström Category:Articles with hCards	Sweden	2:37.21
15	3	2	Dimity Douglas Category:Articles with hCards	Australia	2:38.47
16	2	7	Gaynor Stanley Category:Articles with hCards	Great Britain	2:38.54
17	3	1	Sara Guido Category:Articles with hCards	Mexico	2:38.87
18	3	7	Petra Hillenius Category:Articles with hCards	Netherlands	2:41.57
19	1	7	Kaori Iwasaki Category:Articles with hCards	Japan	2:42.69
20	2	1	Guðrún Ágústsdóttir Category:Articles with hCards	Iceland	2:44.85
20	3	8	Rosa María Silva Category:Articles with hCards	Uruguay	2:50.01
21	1	1	Lai Yee Chow Category:Articles with hCards	Hong Kong	2:50.45
22	2	8	Isabel Lardizajal Category:Articles with hCards	Honduras	3:04.26
