Institution	Location	Founded	Type	Enrollment	Team	Primary Conference
Ave Maria University	Ave Maria, Florida	1998	Private	1,200	Gyrenes	The Sun
Dakota State University	Madison, South Dakota	1881	Public	3,102	Trojans	none
Edward Waters College	Jacksonville, Florida	1866	Private	800	Tigers	Gulf Coast (GCAC)
Haskell Indian Nations University	Lawrence, Kansas	1884	Tribal	1,000	Fighting Indians	MCAC
Jamestown College	Jamestown, North Dakota	1883	Private	967	Jimmies	none
Lindenwood University–Belleville	Belleville, Illinois	2003	Private	2,600	Lynx	none
Mayville State University	Mayville, North Dakota	1889	Public	825	Comets	none
Menlo College	Atherton, California	1927	Private	650	Oaks	CalPac
Point University	West Point, Georgia	1937	Private	1,035	Skyhawks	AAC
Valley City State University	Valley City, North Dakota	1890	Public	1,340	Vikings	none
Webber International University	Babson Park, Florida	1927	Private	616	Warriors	The Sun
