Event	Round	Circuit	Date	Pole Position	Fastest Lap	Winning driver	Winning team
1	1	Adelaide Street Circuit	21 March	Joey Foster	Joey Foster	Joey Foster	Team BRM
1	2	Adelaide Street Circuit	22 March	Joey Foster	Joey Foster	Joey Foster	Team BRM
2	3	Wakefield Park	26 April	Joey Foster	Joey Foster	Tim Macrow	Scud Racing
2	4	Wakefield Park	26 April	Joey Foster	Joey Foster	Joey Foster	Team BRM
3	5	Phillip Island	17 May	Tim Macrow	Joey Foster	Joey Foster	Team BRM
3	6	Phillip Island	17 May	Tim Macrow	Tim Macrow	Tim Macrow	Scud Racing
4	7	Winton Motor Raceway	28 June	Tim Macrow	Joey Foster	Tim Macrow	Scud Racing
4	8	Winton Motor Raceway	28 June	Joey Foster	Joey Foster	Joey Foster	Team BRM
5	9	Eastern Creek Raceway	19 July	Tim Macrow	Tim Macrow	Mat Sofi	Transwest Racing
5	10	Eastern Creek Raceway	19 July	Tim Macrow	Joey Foster	Tim Macrow	Scud Racing
6	11	Queensland Raceway	21 August	Joey Foster	Tim Macrow	Tim Macrow	Scud Racing
6	12	Queensland Raceway	21 August	Tim Macrow	Mat Sofi	Tim Macrow	Scud Racing
7	13	Oran Park Raceway	30 August	Tim Macrow	Mat Sofi	Joey Foster	Team BRM
7	14	Oran Park Raceway	30 August	Mat Sofi	Mat Sofi	Tim Macrow	Scud Racing
8	15	Sandown Raceway	29 November	Joey Foster	Ben Crighton	Joey Foster	Team BRM
