Date	Result	Score	Venue	Competition
01-Jun-62	D	1–1	Tehran , Iran	Friendly
03-Jun-62	L	1–2	Tehran , Iran	Friendly
02-Oct-63	W	4–1	Tehran , Iran	1964 Olympic Games Qualifier
01-Nov-63	L	0–1	Lahore , Pakistan	1964 Olympic Games Qualifier
12-Dec-63	W	4–0	Tehran , Iran	1964 Olympic Games Qualifier
02-Jan-64	D	0–0	Baghdad , Iraq	1964 Olympic Games Qualifier
06-Jun-64	W	3–0	Tehran , Iran	1964 Olympic Games Qualifier
19-Jun-64	W	3–1	Calcutta , India	1964 Olympic Games Qualifier
06-Oct-64	L	0–4	Tokyo , Japan	1964 Olympic Games
11-Oct-64	D	1–1	Tokyo , Japan	1964 Olympic Games
15-Oct-64	L	0–1	Tokyo , Japan	1964 Olympic Games
22-May-65	L	1–2	Tehran , Iran	Friendly
24-May-65	W	2–1	Tehran , Iran	Friendly
23-Jul-65	W	4–1	Tehran , Iran	1965 RCD Cup
25-Jul-65	D	0–0	Tehran , Iran	1965 RCD Cup
16-Mar-66	D	0–0	Tehran , Iran	Friendly
10-Dec-66	W	2–0	Bangkok , Thailand	1966 Asian Games
11-Dec-66	L	1–3	Bangkok , Thailand	1966 Asian Games
13-Dec-66	W	4–1	Bangkok , Thailand	1966 Asian Games
16-Dec-66	W	1–0	Bangkok , Thailand	1966 Asian Games
17-Dec-66	L	0–1	Bangkok , Thailand	1966 Asian Games
18-Dec-66	W	1–0	Bangkok , Thailand	1966 Asian Games
20-Dec-66	L	0–1	Bangkok , Thailand	1966 Asian Games
24-Nov-67	W	2–0	Dacca , Pakistan	1967 RCD Cup
26-Nov-67	L	0–1	Dacca , Pakistan	1967 RCD Cup
10-May-68	W	2–0	Tehran , Iran	1968 Asian Cup
13-May-68	W	4–0	Tehran , Iran	1968 Asian Cup
16-May-68	W	3–1	Tehran , Iran	1968 Asian Cup
19-May-68	W	2–1	Tehran , Iran	1968 Asian Cup
07-Mar-69	W	2–1	Tehran , Iran	1969 Friendship Cup
09-Mar-69	W	2–1	Tehran , Iran	1969 Friendship Cup
12-Mar-69	W	9–1	Tehran , Iran	1969 Friendship Cup
13-Sep-69	W	4–2	Ankara , Turkey	1969 RCD Cup
17-Sep-69	L	0–4	Ankara , Turkey	1969 RCD Cup
