Date	Opponent	Venue	Result	Attendance
13 August 1994	Motherwell	H	2–1	43,750
20 August 1994	Partick Thistle	A	2–0	15,030
27 August 1994	Celtic	H	0–2	45,466
11 September 1994	Heart of Midlothian	H	3–0	41,041
17 September 1994	Falkirk	A	2–0	12,419
24 September 1994	Aberdeen	A	2–2	19,191
1 October 1994	Dundee United	H	2–0	43,030
8 October 1994	Hibernian	A	1–2	12,118
15 October 1994	Kilmarnock	H	2–0	44,099
22 October 1994	Motherwell	A	1–2	11,160
30 October 1994	Celtic	A	3–1	32,171
5 November 1994	Partick Thistle	H	3–0	43,696
9 November 1994	Heart of Midlothian	A	1–1	12,347
19 November 1994	Falkirk	H	1–1	44,018
25 November 1994	Aberdeen	H	1–0	45,072
4 December 1994	Dundee United	A	3–0	10,692
10 December 1994	Kilmarnock	A	2–1	17,283
26 December 1994	Hibernian	H	2–0	44,892
31 December 1994	Motherwell	A	3–1	11,269
4 January 1995	Celtic	H	1–1	45,794
7 January 1995	Partick Thistle	A	1–1	19,351
14 January 1995	Falkirk	A	3–2	13,495
21 January 1995	Heart of Midlothian	H	1–0	44,231
4 February 1995	Dundee United	H	1–1	44,197
12 February 1995	Aberdeen	A	0–2	18,060
25 February 1995	Kilmarnock	H	3–0	44,859
4 March 1995	Hibernian	A	1–1	12,059
11 March 1995	Falkirk	H	2–2	43,359
18 March 1995	Heart of Midlothian	A	1–2	9,806
1 April 1995	Dundee United	A	2–0	11,035
8 April 1995	Aberdeen	H	3–2	44,460
16 April 1995	Hibernian	H	3–1	44,193
20 April 1995	Kilmarnock	A	1–0	16,086
29 April 1995	Motherwell	H	0–2	43,576
7 May 1995	Celtic	A	0–3	31,025
13 May 1995	Partick Thistle	H	1–1	45,280
