Outcome	Date	Surface	Opponent	Score
Runner-up	August 5, 2007	Hard	Andy Roddick	4–6, 6–7 (4–7)
Winner	January 16, 2010	Hard	Arnaud Clément	6–3, 5–7, 7–6 (7–2)
Runner-up	February 21, 2010	Hard (i)	Sam Querrey	7–6 (7–3) , 6–7 (5–7) , 3–6
Runner-up	May 9, 2010	Clay	Sam Querrey	6–3, 6–7 (4–7) , 4–6
Runner-up	July 25, 2010	Hard	Mardy Fish	6–4, 4–6, 6–7 (4–7)
Winner	July 10, 2011	Grass	Olivier Rochus	6–3, 7–6 (8–6)
Runner-up	July 24, 2011	Hard	Mardy Fish	6–3, 6–7 (6–8) , 2–6
Winner	August 27, 2011	Hard	Julien Benneteau	4–6, 6–3, 6–4
Runner-up	March 18, 2012	Hard	Roger Federer	6–7 (7–9) , 3–6
Runner-up	April 15, 2012	Clay	Juan Mónaco	2–6, 6–3, 3–6
Winner	July 15, 2012	Grass	Lleyton Hewitt	7–6 (7–1) , 6–4
Winner	August 25, 2012	Hard	Tomáš Berdych	3–6, 6–4, 7–6 (11–9)
Winner	April 14, 2013	Clay	Nicolás Almagro	6–3, 7–5
Winner	July 28, 2013	Hard	Kevin Anderson	6–7 (3–7) , 7–6 (7–2) , 7–6 (7–2)
Runner-up	August 4, 2013	Hard	Juan Martín del Potro	6–3, 1–6, 2–6
Runner-up	August 18, 2013	Hard	Rafael Nadal	6–7 (8–10) , 6–7 (3–7)
