Pick #	MLS Team	Player	Position	Affiliation
43	Chivas USA	Keith Savage	M	West Florida Central Florida Kraze
44	New York Red Bulls	David Roth	M	Northwestern Chicago Fire Premier
45	FC Dallas	Jamil Roberts	D	Santa Clara
46	Los Angeles Galaxy	Brandon McDonald	M	San Francisco San Jose Frogs
47	Colorado Rapids	Brian Grazier	M	Saint Louis
48	Columbus Crew	Steven Lenhart	F	Azusa Pacific Southern California Seahorses
49	Colorado Rapids	Scott Campbell	M	North Carolina
50	FC Dallas	Ben Nason	M	Virginia Tech
51	Los Angeles Galaxy	Matt Hatzke	D	Santa Clara
52	D.C. United	Tony Schmitz	M	Creighton
53	Kansas City Wizards	Rauwshan McKenzie	D	Michigan State Chicago Fire Premier
54	Chicago Fire	Austin Washington	D	Gonzaga Spokane Spiders
55	New England Revolution	Spencer Wadsworth	F	Duke
56	Houston Dynamo	Jeremy Barlow	M	Virginia
