Recipient	First place(s)	Second place(s)	Third place(s)	Total placings(s)
Nigel Mansell Category:Articles with hCards	2	0	1	3
Henry Cooper Category:Articles with hCards	2	0	0	2
Damon Hill Category:Articles with hCards	2	0	0	2
Steve Davis Category:Articles with hCards	1	2	2	5
Ian Botham Category:Articles with hCards	1	2	1	4
Sebastian Coe Category:Articles with hCards	1	2	1	4
David Beckham Category:Articles with hCards	1	2	0	3
Daley Thompson Category:Articles with hCards	1	1	2	4
Steve Redgrave Category:Articles with hCards	1	1	1	3
Linford Christie Category:Articles with hCards	1	1	0	2
Dorothy Hyman Category:Articles with hCards	1	1	0	2
Torvill and Dean	1	1	0	2
Fatima Whitbread Category:Articles with hCards	1	1	0	2
Steve Cram Category:Articles with hCards	1	0	2	3
Ian Black Category:Articles with hCards	1	0	1	2
Andrew Flintoff Category:Articles with hCards	1	0	1	2
Anita Lonsbrough Category:Articles with hCards	1	0	1	2
Bobby Moore Category:Articles with hCards	1	0	1	2
Michael Owen Category:Articles with hCards	1	0	1	2
Paula Radcliffe Category:Articles with hCards	1	0	1	2
Tony McCoy Category:Articles with hCards	1	0	1	2
Sally Gunnell Category:Articles with hCards	0	2	1	3
Barry Briggs Category:Articles with hCards	0	2	0	2
Frank Bruno Category:Articles with hCards	0	2	0	2
Darren Clarke Category:Articles with hCards	0	2	0	2
Bobby Charlton Category:Articles with hCards	0	2	0	2
Lewis Hamilton Category:Articles with hCards	0	2	0	2
Tony Jacklin Category:Articles with hCards	0	2	0	2
Denise Lewis Category:Articles with hCards	0	2	0	2
Ellen MacArthur Category:Articles with hCards	0	2	0	2
Jessica Ennis Category:Articles with hCards	0	1	2	3
George Best Category:Articles with hCards	0	1	1	2
Jim Clark Category:Articles with hCards	0	1	1	2
Marion Coakes Category:Articles with hCards	0	0	2	2
Colin Jackson Category:Articles with hCards	0	0	2	2
