Date	Opponent	Score	Loss	Attendance	Record
April 3	@ Giants	5 - 3	M. Davis (0-1)	52,700	1-0
April 5	@ Giants	11 - 7	Krukow (0-1)	8,460	2-0
April 6	@ Padres	3 - 2	Smith (0-1)	15,835	2-1
April 7	@ Padres	7 - 6	Trout (0-1)	27,799	2-2
April 8	@ Padres	8 - 5	Thurmond (0-1)	24,285	3-2
April 9	@ Dodgers	4 - 2	Rainey (1-1)	33,284	3-3
April 11	@ Dodgers	2 - 1	Sanderson (0-1)	38,466	3-4
April 13	Mets	11 - 2	Gooden (1-1)	33,436	4-4
April 14	Mets	5 - 2	Leary (1-1)	15,789	5-4
April 18	Cardinals	5 - 0	Rainey (1-2)	0	5-5
April 18	Cardinals	6 - 1	LaPoint (1-2)	5,816	6-5
April 19	Cardinals	6 - 1	Cox (2-1)	8,086	7-5
April 20	Pirates	5 - 4	Tekulve (0-1)	22,049	8-5
April 21	Pirates	8 - 5	Noles (0-1)	21,936	8-6
April 23	@ Cardinals	6 - 2	LaPoint (1-3)	12,468	9-6
April 24	@ Cardinals	3 - 2	Sutter (0-1)	19,639	10-6
April 25	@ Cardinals	7 - 5	Ruthven (2-1)	24,978	10-7
April 27	@ Pirates	3 - 2	Rainey (1-3)	9,057	10-8
April 28	@ Pirates	7 - 1	McWilliams (0-3)	17,317	11-8
April 29	@ Pirates	2 - 1	Candelaria (3-2)	13,397	12-8
