Poll source	Date(s) administered	Sample size	Margin of error	Barbara Boxer (D)	Carly Fiorina (R)	Other	Undecided
Public Policy Polling (report)	October 29–31, 2010	882	± 3.3%	50%	46%	—	3%
SurveyUSA (report)	October 26–31, 2010	587	± 4.1%	46%	38%	6%	10%
Angus Reid Public Opinion (report)	October 28–29, 2010	485	± 4.5%	51%	44%	5%	—
Rasmussen Reports (report)	October 27, 2010	750	± 4.0%	49%	46%	2%	3%
CNN/Time/Opinion Research (report)	October 20–26, 2010	1,527	± 2.5%	50%	45%	1%	—
Field Poll (report)	October 14–26, 2010	1,501	± 3.2%	49%	41%	—	10%
SurveyUSA (report)	October 21–25, 2010	594	± 4.1%	45%	40%	7%	8%
Suffolk University (report)	October 21–24, 2010	600	± 4.0%	52%	43%	4%	2%
Fox/Pulse Opinion Research (report)	October 23, 2010	1,000	± 3.0%	48%	44%	5%	3%
Public Policy Polling (report)	October 21–23, 2010	622	± 3.2%	52%	43%	0%	5%
Rasmussen Reports (report)	October 21, 2010	750	± 4.0%	48%	46%	3%	3%
USC/LA Times (report)	October 13–20, 2010	878	± 3.2%	50%	42%	4%	4%
Tarrance Group (report)	October 17–19, 2010	—	± 4.1%	44%	44%	6%	5%
PPIC (report)	October 10–17, 2010	1,067	± 3.5%	43%	38%	6%	13%
Reuters (report)	October 12–14, 2010	601	± 4.0%	46%	45%	2%	6%
Rasmussen Reports (report)	October 13, 2010	750	± 4.0%	49%	46%	2%	3%
Angus Reid Public Opinion (report)	October 6, 2010	501	± 4.5%	55%	39%	6%	—
Rasmussen Reports (report)	October 3, 2010	750	± 4.0%	49%	45%	2%	5%
USC poll report	September 27, 2010	1,003	—	39%	34%	—	23%
PPIC report	September 19–26, 2010	1,104	± 3%	42%	35%	6%	17%
CNN/Time/Opinion Research Corporation (report)	September 24–28, 2010	786	± 3.5%	52%	43%	3%	2%
Survey USA (report)	September 19–21, 2010	610	± 4.0%	49%	43%	6%	2%
Rasmussen Reports (report)	September 20, 2010	750	± 4.0%	47%	43%	4%	6%
Fox News/Pulse Opinion Research (report)	September 18, 2010	1,000	± 3.0%	47%	46%	3%	4%
Public Policy Polling (report)	September 14–16, 2010	630	± 3.9%	50%	42%	—	8%
Fox News (report)	September 11, 2010	1,000	± 3.0%	46%	44%	4%	6%
Rasmussen Reports (report)	September 6, 2010	750	± 4.0%	47%	48%	2%	3%
Rasmussen Reports (report)	September 6, 2010	750	± 4.0%	42%	47%	—	—
CNN(report)	September 2–7, 2010	866	± 3.5%	48%	44%	5%	3%
Survey USA (report)	August 31-September 1, 2010	569	± 4.2%	46%	48%	5%	1%
Rasmussen Reports (report)	August 24, 2010	750	± 4.0%	44%	43%	5%	8%
Survey USA/CBS 5 (report)	August 9–11, 2010	602	± 4.0%	42%	47%	—	11%
Rasmussen Reports (report)	August 3, 2010	750	± 4.0%	45%	40%	5%	10%
Public Policy Polling (report)	July 23–25, 2010	614	± 3.95%	49%	40%	—	11%
Rasmussen Reports (report)	July 12, 2010	500	± 4.5%	49%	42%	4%	5%
Survey USA (report)	July 8–11, 2010	614	± 4.0%	45%	47%	3%	5%
Reuters (report)	June 30, 2010	600	± 4.5%	45%	41%	1%	13%
Rasmussen Reports (report)	June 9, 2010	500	± 4.5%	48%	43%	5%	5%
Public Policy Polling (report)	May 21–23, 2010	921	± 3.2%	45%	42%	—	13%
Los Angeles Times (report)	May 19–26, 2010	—	—	44%	38%	—	—
Research 2000 (report)	May 17–19, 2010	600	± 4.0%	48%	39%	—	—
PPIC (report)	May 9–16, 2010	2,003	± 2.0%	48%	39%	—	13%
Rasmussen Reports (report)	May 12, 2010	500	± 4.5%	45%	38%	4%	12%
Rasmussen Reports (report)	April 12, 2010	500	± 4.5%	42%	38%	7%	13%
PPIC (report)	March 24, 2010	2,002	± 2.0%	44%	43%	—	13%
The Field Poll (report)	March 18, 2010	748	± 3.7%	45%	44%	—	11%
Rasmussen Reports (report)	March 11, 2010	500	± 4.5%	46%	40%	4%	10%
Research 2000 (report)	March 10, 2010	600	± 4.0%	49%	40%	—	11%
Rasmussen Reports (report)	February 11, 2010	500	± 4.5%	46%	42%	7%	5%
PPIC (report)	January 27, 2010	2,001	± 2.0%	48%	40%	—	12%
The Field Poll (report)	January 5–17, 2010	1,005	± 3.2%	50%	35%	—	15%
Rasmussen Reports (report)	January 14, 2010	500	± 4.5%	46%	43%	3%	8%
Rasmussen Reports (report)	November 17, 2009	500	± 4.5%	46%	37%	5%	12%
The Field Poll (report)	Sept. 18–October 6, 2009	1,005	± 3.2%	49%	35%	—	16%
Rasmussen Reports (report)	September 23, 2009	500	± 4.5%	49%	39%	4%	8%
Research 2000 (report)	August 9–12, 2009	600	± 4.0%	52%	31%	—	17%
Rasmussen Reports (report)	July 22, 2009	500	± 4.5%	45%	41%	7%	7%
Rasmussen Reports (report)	March 9, 2009	500	± 4.5%	47%	38%	10%	5%
The Field Poll (report)	Feb. 20–March 1, 2009	761	± 3.6%	55%	25%	—	20%
