Tie no	Home team	Score	Away team	Date
1	Walsall	0–0	Liverpool	17 February 1968
Replay	Liverpool	5–2	Walsall	19 February 1968
2	Aston Villa	0–1	Rotherham United	17 February 1968
3	Sheffield Wednesday	2–1	Swindon Town	17 February 1968
4	Middlesbrough	1–1	Bristol City	17 February 1968
Replay	Bristol City	2–1	Middlesbrough	20 February 1968
5	West Bromwich Albion	1–1	Southampton	17 February 1968
Replay	Southampton	2–3	West Bromwich Albion	21 February 1968
6	Sheffield United	2–1	Blackpool	17 February 1968
7	Tottenham Hotspur	3–1	Preston North End	17 February 1968
8	Manchester City	0–0	Leicester City	17 February 1968
Replay	Leicester City	4–3	Manchester City	19 February 1968
9	Fulham	0–0	Portsmouth	17 February 1968
Replay	Portsmouth	1–0	Fulham	21 February 1968
10	Coventry City	1–1	Tranmere Rovers	17 February 1968
Replay	Tranmere Rovers	2–0	Coventry City	21 February 1968
11	Carlisle United	0–2	Everton	17 February 1968
12	Chelsea	1–0	Norwich City	17 February 1968
13	Swansea Town	0–1	Arsenal	17 February 1968
14	Leeds United	2–1	Nottingham Forest	17 February 1968
15	Stoke City	0–3	West Ham United	17 February 1968
16	Birmingham City	3–0	Orient	17 February 1968
