#	Date	Visitor	Score	Home	Leading scorer	Attendance	Record	Streak
32	January 2	Portland Trail Blazers	W 90–79	Minnesota Timberwolves	Jefferson : 29	Target Center 13,339	19–13	W1
33	January 3	Portland Trail Blazers	W 115–109 2 OT	Chicago Bulls	Gordon : 32	United Center 21,756	20–13	W2
34	January 5	Utah Jazz	W 89–103	Portland Trail Blazers	Webster : 26	Rose Garden 20,451	21–13	W3
35	January 9	Golden State Warriors	W 91–109	Portland Trail Blazers	Blake : 24	Rose Garden 20,415	22–13	W4
36	January 13	Portland Trail Blazers	L 109–116 2 OT	Toronto Raptors	Bosh : 38	Air Canada Centre 19,800	22–14	L1
37	January 14	Portland Trail Blazers	W 99–73	New Jersey Nets	Aldridge : 20	Izod Center 14,242	23–14	W1
38	January 16	Portland Trail Blazers	L 90–100	Boston Celtics	Garnett : 36	TD Banknorth Garden 18,624	23–15	L1
39	January 18	Portland Trail Blazers	W 98–91	Miami Heat	Wade : 37	AmericanAirlines Arena 19,600	24–15	W1
40	January 19	Portland Trail Blazers	L 94–101	Orlando Magic	Roy : 25	Amway Arena 17,519	24–16	L1
41	January 21	Portland Trail Blazers	W 111–109 OT	Atlanta Hawks	Johnson : 37	Philips Arena 17,400	25–16	W1
42	January 23	Portland Trail Blazers	L 81–96	New Orleans Hornets	Pargo : 24	New Orleans Arena 11,006	25–17	L1
43	January 25	Houston Rockets	L 89–79	Portland Trail Blazers	Roy : 23	Rose Garden 20,576	25–18	L2
44	January 27	Atlanta Hawks	W 93–94	Portland Trail Blazers	Roy : 24	Rose Garden 20,438	26–18	W1
