Building	City	Height	Stories	Status
Torre KOI	Monterrey	m (ft)	67	under construction
Torre Mitikah	Mexico City	m (ft)	60	under construction
Punto Chapultepec	Mexico City	m (ft)	59	proposed
Torre Reforma	Mexico City	m (ft)	57	under construction
Corporativo BBVA Bancomer	Mexico City	m (ft)	50	under construction
Reforma 432	Mexico City	m (ft)	52	under construction
Torre New York Life	Mexico City	m (ft))	32	under construction
LIU East	Monterrey	m (ft))	37	under construction
Residencial Vidalta Torre Altaire 2	Mexico City	m (ft)	44	on-hold
Residencial Vidalta Torre Altaire 3	Mexico City	m (ft))	44	on-hold
Reforma 90	Mexico City	m (ft)	42	on-hold
Ritz-Carlton Mexico City	Mexico City	m (ft)	34	on-hold
