Passenger	Points	Races	Wins	Second	Third
Artis Rasmanis	1	3	—	—	—
Artis Rasmanis	25	9	—	—	—
Normunds Bērziņš	31	10	—	—	—
Normunds Bērziņš	4	20	—	—	—
Artis Rasmanis	11	4	—	—	—
Artis Rasmanis	132	16	1	1	—
Normunds Bērziņš	15	2	—	—	1
Artis Rasmanis	277	20	5	4	2
Artis Rasmanis	299	18	7	5	2
Artis Rasmanis	385	24	8	10	3
Ramon van Mill	54	4	—	1	1
Artis Rasmanis	298	22	7	6	2
Artis Rasmanis	534	26	16	4	3
Christian Verhagen	16	2	—	—	—
Artis Rasmanis	662	28	24	1	2
Sven Verbrugge	501	26	12	7	1
Sven Verbrugge	246	12	6	1	2
Kaspars Stupelis	440	22	7	12	—
Kaspars Stupelis	64	4	—	2	1
Kaspars Stupelis	242	16	1	8	1
Kaspars Stupelis	434	24	4	12	2
Overall 1992 - 2008	4687	312	98	74	23
