Year	Category	Nominee(s)	Episode	Result
1995	BMI TV Music Award	Martin Davich	Season 1	Won
1996	BMI TV Music Award	Martin Davich	Season 2	Won
1997	BMI TV Music Award	Martin Davich	Season 3	Won
1998	BMI TV Music Award	Martin Davich	Season 4	Won
1999	BMI TV Music Award	Martin Davich	Season 5	Won
2000	BMI TV Music Award	Martin Davich	Season 6	Won
2001	BMI TV Music Award	Martin Davich	Season 7	Won
2002	BMI TV Music Award	Martin Davich	Season 8	Won
2003	BMI TV Music Award	Martin Davich	Season 9	Won
2004	BMI TV Music Award	Martin Davich	Season 10	Won
2005	BMI TV Music Award	Martin Davich	Season 11	Won
