Match	League	Date & Time ( CET )	Arena	Team and Score	Result
1	FM	07.09.07, 18:30	A	Fortitudo Bologna – CSKA Moscow	91–66
2	FM	12.09.07, 20:30	A	Ferrara – CSKA Moscow	57–77
3	FM	15.09.07, 19:45	A	Unicaja Málaga – CSKA Moscow	63–72
4	FM	16.09.07, 20:30	A	Montepaschi Siena – CSKA Moscow	72–67
5	FM	19.09.07, 20:45	A	Benetton Treviso – CSKA Moscow	65–64
6	FM	21.09.07, 19:00	A	Beşiktaş Cola Turka – CSKA Moscow	83–90
7	FM	22.09.07, 21:00	A	Virtus Bologna – CSKA Moscow	106–77
8	CBA	30.09.07, 13:10	A	Sydney Kings – CSKA Moscow	62–71
9	CBA	01.10.07, 08:30	A	China – CSKA Moscow	77–83
10	SL	03.10.07, 10:00	A	Spartak Primorje – CSKA Moscow	63–89
11	SL	05.10.07, 12:30	A	Enisey – CSKA Moscow	63–83
12	SL	06.10.07, 12:00	A	Sibirtelecom – CSKA Moscow	60–104
13	SL	13.10.07, 16:00	H	CSKA Moscow – Lokomotiv Rostov	92–69
14	SL	17.10.07, 17:00	H	CSKA Moscow – CSK VSS Samara	97–62
15	EL	22.10.07, 20:15	A	Prokom Trefl Sopot – CSKA Moscow	69–88
16	SL	27.10.07, 13:30	A	Ural Great – CSKA Moscow	69–75
17	EL	31.10.07, 18:15	H	CSKA Moscow – Lokomotiv Rostov	74–70
18	SL	01.11.07, 16:00	H	CSKA Moscow – Triumph Lyubertsy	93–74
19	EL	07.11.07, 20:45	A	Olimpija Ljubljana – CSKA Moscow	74–72
20	SL	10.11.07, 15:00	H	CSKA Moscow – Dynamo Moscow	80–82
21	EL	14.11.07, 18:15	H	CSKA Moscow – Olympiacos	88–79
22	SL	17.11.07, 13:00	A	Universitet – CSKA Moscow	63–85
23	EL	21.11.07, 20:15	H	CSKA Moscow – BC Žalgiris	78–70
24	SL	24.11.07, 17:00	H	CSKA Moscow – UNICS Kazan	93–61
25	EL	29.11.07, 22:00	A	TAU Cerámica – CSKA Moscow	76–85
26	SL	02.12.07, 17:00	H	CSKA Moscow – Spartak St. Pet.	78–65
27	EL	05.12.07, 20:15	H	CSKA Moscow – Virtus Bologna	79–53
