Date	Opponent	Venue	Result	Attendance
9 August 1969	Liverpool	A	1-4	48,383
11 August 1969	West Ham United	A	0-2	39,003
16 August 1969	Ipswich Town	H	1-0	29,613
20 August 1969	West Ham United	H	0-0	43,346
23 August 1969	Southampton	A	2-2	25,935
27 August 1969	Tottenham Hotspur	A	1-1	47,395
30 August 1969	Crystal Palace	H	1-1	41,908
6 September 1969	Manchester City	A	0-0	35,995
13 September 1969	Wolverhampton Wanderers	H	2-2	38,599
17 September 1969	Burnley	H	2-0	24,904
20 September 1969	Leeds United	A	0-2	33,130
27 September 1969	Arsenal	H	3-0	46,370
4 October 1969	Sunderland	A	0-0	24,216
11 October 1969	Derby County	H	2-2	51,421
18 October 1969	West Bromwich Albion	H	2-0	34,810
25 October 1969	Newcastle United	A	1-0	40,088
1 November 1969	Coventry City	H	1-0	38,899
8 November 1969	Sheffield Wednesday	A	3-1	18,044
15 November 1969	Everton	H	1-1	49,895
18 November 1969	Ipswich Town	A	4-1	20,935
22 November 1969	Nottingham Forest	A	1-1	23,808
6 December 1969	Manchester United	A	2-0	49,344
13 December 1969	Wolverhampton Wanderers	A	0-3	26,775
20 December 1969	Manchester City	H	3-1	34,791
26 December 1969	Southampton	H	3-1	41,489
27 December 1969	Crystal Palace	A	5-1	49,498
10 January 1970	Leeds United	H	2-5	57,221
17 January 1970	Arsenal	A	3-0	51,338
31 January 1970	Sunderland	H	3-1	38,775
11 February 1970	Derby County	A	2-2	35,109
25 February 1970	Newcastle United	H	0-0	35,341
28 February 1970	Coventry City	A	3-0	37,448
7 March 1970	Nottingham Forest	H	1-1	55,227
17 March 1970	Stoke City	H	1-0	28,996
21 March 1970	Manchester United	H	2-1	61,479
25 March 1970	Sheffield Wednesday	H	3-1	29,590
28 March 1970	Everton	A	2-5	57,828
30 March 1970	West Bromwich Albion	A	1-3	31,207
4 April 1970	Tottenham Hotspur	H	1-0	44,925
13 April 1970	Stoke City	A	2-1	22,707
14 April 1970	Burnley	A	1-3	12,030
18 April 1970	Liverpool	H	2-1	36,521
