District	Incumbent	Party	First elected	Result	Candidates
Virginia 1	Daniel Morgan	Federalist	1797	Retired Federalist hold	Robert Page (F) 54.3% John Smith (DR) 45.7%
Virginia 2	David Holmes	Democratic-Republican	1797	Re-elected	David Holmes (DR) Robert Porterfield (F)
Virginia 3	James Machir	Federalist	1797	Retired Democratic-Republican gain	George Jackson (DR) 53.9% John Haymond (F) 46.0%
Virginia 4	Abram Trigg	Democratic-Republican	1797	Re-elected	Abram Trigg (DR) 88.5% William Preston (F) 11.5%
Virginia 5	John J. Trigg	Democratic-Republican	1797	Re-elected	John J. Trigg (DR) George Hancock (F)
Virginia 6	Matthew Clay	Democratic-Republican	1797	Re-elected	Matthew Clay (DR) Isaac Coles (DR)
Virginia 12	Thomas Evans	Federalist	1797	Re-elected	Thomas Evans (F) 62.3% John Page (DR) 37.7%
Virginia 13	John Clopton	Democratic-Republican	1795	Lost re-election Federalist gain	John Marshall (F) John Clopton (DR)
Virginia 15	John Dawson	Democratic-Republican	1797	Re-elected	John Dawson (DR)
Virginia 16	Anthony New	Democratic-Republican	1793	Re-elected	Anthony New (DR) Benjamin Temple (F)
Virginia 17	Richard Brent	Democratic-Republican	1795	Retired Federalist gain	Leven Powell (F) 63.8% Roger West (DR) 36.4%
Virginia 18	John Nicholas	Democratic-Republican	1793	Re-elected	John Nicholas (DR) John Blackwell (F)
