Year	Rider	Country	Distance	Pacing	Velodrome
1894	Constant Huret	France	736.946 km	tandem paced	Vélodrome Buffalo
1895	Constant Huret	France	829.498 km	tandem paced	Vélodrome Buffalo
1896	Gaston Rivierre	France	859.120 km	tandem paced	Vélodrome Buffalo
1897	Lucien Stein	France	764.826 km	tandem paced	Vélodrome Buffalo
1898	Constant Huret	France	852.468 km	triplet paced	Roubaix Vélodrome
1899	Albert Walters	Great Britain	1020.977 km	electric tandem paced	Parc des Princes Vélodrome
1900	Mathieu Cordang	Netherlands	956.775 km	triplet paced	Vélodrome de Vincennes
1902	Constant Huret	France	779.488 km	tandem paced	Vélodrome Buffalo
1903	Léon Georget	France	847.803 km	tandem paced	Vélodrome Buffalo
1904	Lucien Petit-Breton	France	852.000 km	tandem paced	Vélodrome Buffalo
1905	Arthur Vanderstuyft	Belgium	943.666 km	tandem paced	Vélodrome d'hiver
1906	René Pottier	France	925.290 km	tandem paced	Vélodrome Buffalo
1907	Léon Georget	France	904.420 km	tandem paced	Vélodrome Buffalo
1908	Léon Georget	France	973.666 km	tandem paced	Vélodrome d'hiver
1909	Léon Georget	France	845.700 km	tandem paced	Vélodrome Buffalo
1910	Léon Georget	France	923.300 km	tandem paced	Vélodrome Buffalo
1911	Léon Georget	France	915.160 km	tandem paced	Vélodrome Buffalo
1912	Léon Georget	France	951.750 km	tandem paced	Vélodrome d'hiver
1913	Léon Georget	France	909.984 km	tandem paced	Vélodrome d'hiver
1919	Léon Georget	France	924.680 km	tandem paced	Vélodrome d'hiver
1924	Oscar Egg	Switzerland	936.325 km	tandem paced	Vélodrome Buffalo
1925	Honoré Barthélémy	France	1035.114 km	tandem paced	Bordeaux Vélodrome
1927	Honoré Barthélémy	France	924.500 km	tandem paced	Vélodrome Buffalo
1928	Hubert Opperman	Australia	950.060 km	tandem paced	Vélodrome Buffalo
1950	Fiorenzo Magni	Italy	867.609 km	derny paced	Vélodrome d'hiver
