Team	Car(s)	Driver(s)	Primary Sponsor(s)	Owner(s)	Crew Chief
Go Green Racing	Ford Mustang	Jeffrey Earnhardt (R)/ T. J. Duke	Uponor / Keen's Parts	Archie St. Hilaire	Ben Leslie
JD Motorsports with Gary Keller	Chevrolet Camaro	Mike Wallace	G&K Services	Johnny Davis	Dave Fuge
JD Motorsports with Gary Keller	Chevrolet Camaro	Landon Cassill / Daryl Harr	Flex Seal / iWorld	Gene Vess	Clinton Cram
Jeremy Clements Racing	Chevrolet Camaro	Jeremy Clements	Clements Automotive	Tony Clements	Ricky Pearson
Joe Gibbs Racing	Toyota Camry	Elliott Sadler	OneMain Financial	J. D. Gibbs	Chris Gayle
Joe Gibbs Racing	Toyota Camry	Brian Vickers	Dollar General	Joe Gibbs	Kevin Kidd
Joe Gibbs Racing	Toyota Camry	Kyle Busch	Monster Energy	J. D. Gibbs	Adam Stevens
JR Motorsports	Chevrolet Camaro	Brad Sweet	Great Clips	Rick Hendrick	Mike Bumgarner
JR Motorsports	Chevrolet Camaro	Regan Smith	Unilever / TaxSlayer	Kelley Earnhardt-Miller	Greg Ives
Kyle Busch Motorsports	Toyota Camry	Parker Kligerman	Toyota / Bandit Chippers	Kyle Busch	Eric Phillips
Means Motorsports	Chevrolet Camaro	Joey Gase	Donate Life	Jimmy Means	Timothy Brown
Mike Harmon Racing	Chevrolet Camaro	Carl Long / Kevin Lepage	n/a	Mike Harmon	Dave Goulet
NEMCO-Jay Robinson Racing	Toyota Camry	Joe Nemechek	PellettGrillsUSA.com	Andrea Nemechek	Steve Gray
Penske Racing	Ford Fusion	Sam Hornish, Jr.	Alliance Truck Parts / Wurth	Roger Penske	Greg Erwin
Penske Racing	Ford Fusion	Brad Keselowski / Joey Logano	Discount Tire / Hertz	Roger Penske	Jeremy Bullins
RAB Racing	Toyota Camry	Alex Bowman (R)	ToyotaCare	Robby Benton	Chris Rice
Richard Childress Racing	Chevrolet Camaro	Brian Scott	Shore Lodge	Richard Childress	Phil Gould
Richard Childress Racing	Chevrolet Camaro	Austin Dillon	AdvoCare	Richard Childress	Danny Stockman, Jr.
Richard Childress Racing	Chevrolet Camaro	Kevin Harvick / Ty Dillon Paul Menard	Hunt Brothers Pizza / WESCO Armour Foods / Menards	Richard Childress	Ernie Cope
Richard Petty Motorsports	Ford Mustang	Michael Annett	Pilot Flying J	Richard Petty	Phillipe Lopez
Roush Fenway Racing	Ford Mustang	Trevor Bayne	Cargill / Valvoline	Jack Roush	Mike Kelley
Roush Fenway Racing	Ford Mustang	Travis Pastrana	Red Bull	Jack Roush	Chad Norris
SR² Motorsports	Toyota Camry	Blake Koch	Compassion International	Melissa Sciavicco	Kevin Eagle
SR² Motorsports	Toyota Camry	Ken Butler III / Brett Butler	VIP Poker	Jason Sciavicco	Chris Wright
The Motorsports Group	Chevrolet Camaro	Reed Sorenson	Curtis Key Plumbing	Curtis Key	Gary Showalter
TriStar Motorsports	Toyota Camry	Jeff Green	n/a	Mark Smith	Blake Climo
TriStar Motorsports	Toyota Camry	Eric McClure	Hefty / Reynolds Wrap	Mark Smith	Todd Myers
TriStar Motorsports	Toyota Camry	Mike Bliss	Tweaker Energy Shot	Mark Smith	Paul Clapprood
TriStar Motorsports	Toyota Camry	Cole Whitt / Chad Hackenbracht	Tastee Apple Inc.	Mark Smith	Greg Conner
Turner Scott Motorsports	Chevrolet Camaro	Nelson Piquet, Jr. (R)	Worx	Harry Scott, Jr.	Chris Carrier
Turner Scott Motorsports	Chevrolet Camaro	Justin Allgaier	Brandt	Steve Turner	Scott Zipadelli
Turner Scott Motorsports	Chevrolet Camaro	Kyle Larson (R)	Cessna / Clorox / McDonald's	Harry Scott, Jr.	Trent Owens
