Pick #	Player	Position	Nationality	NHL team	College/junior/club team
85	Al Simmons	Defence	Canada	California Golden Seals	Winnipeg Jets (WCHL)
86	Jim Nahrgang	Defence	Canada	Detroit Red Wings	Michigan Technological University (WCHA)
87	Bill Green	Defence	United States	Vancouver Canucks	University of Notre Dame (NCAA)
88	Doug Elliott	Defence	Canada	Pittsburgh Penguins	Harvard University (ECAC)
89	Peter Harasym	Left Wing	Canada	Los Angeles Kings	Clarkson University (ECAC)
90	Norm Dube	Left Wing	Canada	Los Angeles Kings	Sherbrooke Castors (QMJHL)
91	Bruce Abbey	Defence	Canada	Minnesota North Stars	Peterborough Petes (OHA)
92	Bobby Gerard	Right Wing	Canada	Philadelphia Flyers	Regina Pats (WCHL)
93	Dale Smedsmo	Left Wing	United States	Toronto Maple Leafs	Bemidji State University (WCHA)
94	Dave Smith	Defence	Canada	St. Louis Blues	Regina Pats (WCHL)
95	Peter Sullivan	Centre	Canada	Montreal Canadiens	Oshawa Generals (OHA)
96	Doug Keeler	Centre	Canada	New York Rangers	Ottawa 67's (OHA)
97	Jean-Denis Royal	Defence	Canada	New York Rangers	Saint-Jérôme Alouettes (QMJHL)
98	Steve Johnson	Defence	Canada	Toronto Maple Leafs	Verdun Maple Leafs (QMJHL)
Reference:	Reference:	Reference:	Reference:	Reference:	Reference:
