Pick #	Player	Position	Nationality	NHL team	College/junior/club team
144	Lee Palmer	Defence	Canada	Toronto Maple Leafs	Clarkson University (NCAA)
145	Doug Mahood	Right Wing	Canada	California Golden Seals	Sault Ste. Marie Greyhounds (OHA)
146	Terry McDougall	Centre	Canada	Vancouver Canucks	Swift Current Broncos (WCHL)
147	Bob Peace	Centre	Canada	Toronto Maple Leafs	Cornell University (NCAA)
148	Glen Surbey	Defence	Canada	Atlanta Flames	Loyola College (CIAU)
149	Guy Ross	Defence	Canada	Atlanta Flames	Sherbrooke Castors (QMJHL)
150	Randy Aimoe	Defence	Canada	Pittsburgh Penguins	Medicine Hat Tigers (WCHL)
151	Kevin Neville	Goaltender	Canada	Detroit Red Wings	Toronto Marlboros (OHA)
152	Sam Clegg	Goaltender	Canada	Minnesota North Stars	Medicine Hat Tigers (WCHL)
153	Brian Dick	Right Wing	Canada	Philadelphia Flyers	Winnipeg Jets (WCHL)
154	Ken Gibb	Defence	Canada	Detroit Red Wings	University of North Dakota (NCAA)
155	Mitch Brandt	Defence	United States	Detroit Red Wings	University of Denver (NCAA)
156	Rick Clubbe	Centre	Canada	Chicago Black Hawks	University of North Dakota (NCAA)
157	Yvan Bouillon	Centre	Canada	Boston Bruins	Cornwall Royals (QMJHL)
158	Alain Labrecque	Centre	Canada	Montreal Canadiens	Trois-Rivieres Draveurs (QMJHL)
