Region	Date	Label	Format	Catalog
Japan	November 7, 2007	Sony	CD	EICP-875
Europe	November 9, 2007	Columbia	CD	88697081142
Europe	November 9, 2007	Columbia	CD/ DVD	88697147842
Australia	November 10, 2007	Epic	CD	88697081142
Australia	November 10, 2007	Epic	CD/DVD	88697147842
United States	November 13, 2007	Columbia	CD	88697081142
United States	November 13, 2007	Columbia	CD/DVD	88697147842
United States	December 11, 2007	Columbia	CD/DVD/ Perfume	88697147862
Canada	November 13, 2007	Columbia	CD	88697081142
Canada	November 13, 2007	Columbia	CD/DVD	88697147842
Canada	December 11, 2007	Columbia	CD/DVD/Perfume	88697147862
Europe	February 8, 2008	Columbia	CD/DVD/Perfume	88697147862
