Season	Level	Division	Administration	Position
1997	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Palloliitto)	6th
1998	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Palloliitto)	9th
1999	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Palloliitto)	6th
2000	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Palloliitto)	4th
2001	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Palloliitto)	5th
2002	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Palloliitto)	4th
2003	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Palloliitto)	6th
2004	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Palloliitto)	11th
2005	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Palloliitto)	5th
2006	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Palloliitto)	5th
2007	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Palloliitto)	1st
2008	Tier 2	Ykkönen (First Division)	Finnish FA (Suomen Palloliitto)	14th
2009	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Palloliitto)	3rd
2010	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Palloliitto)	10th
2011	Tier 3	Kakkonen (Second Division)	Finnish FA (Suomen Palloliitto)	14th
2012	Tier 4	Kolmonen (Second Division)	Helsinki & Uusimaa (SPL Uusimaa)	1st
