Event	Time	Club	Date	Meet	Location
50 m freestyle	24.53	Centro de Natacion Carabobo	11 November 2008	World Cup	Stockholm , Sweden
100 m freestyle	54.78	Centro de Natacon Carabobo	12 November 2008	World Cup	Stockholm , Sweden
200 m freestyle	1:59.26	Sport Center Los Naranjos	19 December 2010	World Championships	Dubai , United Arab Emirates
400 m freestyle	4:10.33	Sport Center Los Naranjos	16 December 2010	World Championships	Dubai , United Arab Emirates
800 m freestyle	8:26.31	Sport Center Los Naranjos	16 December 2010	World Championships	Dubai , United Arab Emirates
1500 m freestyle	17:50.16	Delfines UCV	3 May 2008	Venezuela Open	Barquisimeto , Venezuela
50 m backstroke	28.84	Sport Center Los Naranjos	18 December 2010	World Championships	Dubai , United Arab Emirates
100 m backstroke	1:02.09	Sport Center Los Naranjos	15 December 2010	World Championships	Dubai , United Arab Emirates
200 m backstroke	2.16.95	Sport Center Los Naranjos	17 December 2010	World Championships	Dubai , United Arab Emirates
50 m breaststroke	32.67	Sport Center Los Naranjos	15 December 2010	World Championships	Dubai , United Arab Emirates
100 m breaststroke	1:10.85	Sport Center Los Naranjos	17 December 2010	World Championships	Dubai , United Arab Emirates
200 m breaststroke	2:31.98	Sport Center Los Naranjos	19 December 2010	World Championships	Dubai , United Arab Emirates
50 m butterfly	27.36	Sport Center Los Naranjos	16 December 2010	World Championships	Dubai , United Arab Emirates
100 m butterfly	1:00.59	Maximo Viloria	18 December 2010	World Championships	Dubai , United Arab Emirates
200 m butterfly	2:15.22	Parque Naciones Unidas	15 December 2010	World Championships	Dubai , United Arab Emirates
100 m individual medley	1:06.60	Parque Naciones Unidas	16 December 2010	World Championships	Dubai , United Arab Emirates
200 m individual medley	2:21.65	Parque Naciones Unidas	18 December 2010	World Championships	Dubai , United Arab Emirates
400 m individual medley	5:14.06	Emil Friedman	14 October 2010	Speedo Open International	Lima , Peru
4×100 m freestyle relay	3:50.65	Venezuela	18 December 2010	World Championships	Dubai , United Arab Emirates
4×200 m freestyle relay	8:45.90	Emil Friedman	October 2010	Speedo Open International	Lima , Peru
4×100 m medley relay	4:13.48	Venezuela	17 December 2010	World Championships	Dubai , United Arab Emirates
