School Year	Volleyball	Cross Country	Soccer	Tennis	Golf	Basketball	Swimming	Softball	Track & Field
2003-04	Orrville	Ashland	Lexington	Lexington	began in 2013	Orrville	Wooster	Ashland	Lexington
2004-05	Orrville, Madison, Lexington, West Holmes	Ashland	Ashland	Lexington	n/a	Orrville	Lexington	Lexington	Lexington
2005-06	Wooster	Lexington	Ashland	Lexington	n/a	Wooster	Wooster	Clear Fork	Ashland
2006-07	Wooster	Ashland	Ashland	Lexington	n/a	Lexington	Wooster	Ashland	Ashland
2007-08	Wooster	Lexington	Ashland	Lexington	n/a	West Holmes	Wooster	Clear Fork, Wooster	Orrville
2008-09	Madison	Wooster	Ashland	Lexington	n/a	West Holmes	Wooster	Clear Fork, Lexington	Ashland
2009-10	Lexington, Madison, Orrville	Lexington	Lexington, Wooster	Lexington	n/a	Orrville	Wooster	Clear Fork	Ashland
2010-11	Madison	Lexington	Clear Fork	Lexington	n/a	West Holmes	Lexington	Clear Fork	Ashland
2011-12	Madison	Lexington	Wooster	Lexington	n/a	West Holmes	Wooster	Orrville	Orrville
2012-13	Lexington	Lexington	Ashland	Lexington	n/a	West Holmes	Wooster	Madison	West Holmes
