Processor	Brand name	Model (list)	Cores	L2 Cache	Socket	TDP
Merom-L	Mobile Core 2 Solo	U2xxx	1	2 MiB	BGA479	5.5 W
Merom-2M	Mobile Core 2 Duo	U7xxx	2	2 MiB	BGA479	10 W
Merom	Mobile Core 2 Duo	L7xxx	2	4 MiB	BGA479	17 W
Merom Merom-2M	Mobile Core 2 Duo	T5xxx T7xxx	2	2-4 MiB	Socket M Socket P BGA479	35 W
Merom	Mobile Core 2 Extreme	X7xxx	2	4 MiB	Socket P	44 W
Merom	Celeron M	5x0	1	512 KiB	Socket M Socket P	30 W
Merom-L	Celeron M	5x0	1	512 KiB	Socket M Socket P	27 W
Merom-2M	Celeron M	5x5	1	1024 KiB	Socket P	31 W
Merom-L	Celeron M	5x3	1	512-1024 KiB	BGA479	5.5-10 W
Merom-2M	Celeron Dual-Core	T1xxx	2	512-1024 KiB	Socket P	35 W
