Position	Jersey #	Name	Height (cm)	Weight (kg)	Birthdate	Birthplace	2008–2009 Team
G	30	Scott Clemmensen	191	98	July 23, 1977	Des Moines, Iowa	New Jersey Devils
G	31	Robert Esche	188	102	January 22, 1978	Whitesboro, New York	SKA St. Petersburg ( KHL )
G	35	Al Montoya	188	88	February 13, 1985	Glenview, Illinois	Phoenix Coyotes
D	2	Keith Ballard	180	91	November 26, 1982	Baudette, Minnesota	Florida Panthers
D	4	Zach Bogosian	191	93	July 15, 1990	Massena, New York	Atlanta Thrashers
D	6	Ron Hainsey	191	95	March 24, 1981	Bolton, Connecticut	Atlanta Thrashers
D	7	Peter Harrold	180	88	June 8, 1983	Kirtland Hills, Ohio	Los Angeles Kings
D	3	Jack Johnson	185	102	January 13, 1987	Indianapolis, Indiana	Los Angeles Kings
D	15	John-Michael Liles	179	84	November, 25 1980	Zionsville, Indiana	Colorado Avalanche
D	5	Matt Niskanen	185	86	December 6, 1986	Virginia, Minnesota	Dallas Stars
D	20	Ryan Suter	185	88	January, 21 1985	Madison, Wisconsin	Nashville Predators
LW	55	Jason Blake	178	82	September 2, 1973	Moorhead, Minnesota	Toronto Maple Leafs
LW	17	Nick Foligno	183	91	October 31, 1987	Buffalo, New York	Ottawa Senators
LW	18	Christopher Higgins	183	92	June 2, 1983	Smithtown, New York	Montreal Canadiens
LW	49	Colin Stuart	188	93	July 8, 1982	Rochester, Minnesota	Atlanta Thrashers
LW	33	Colin Wilson	185	98	October 20, 1989	Greenwich, Connecticut	Boston University ( HE )
C	74	T. J. Oshie	180	79	December 23, 1986	Mount Vernon, Washington	St. Louis Blues
C	12	Patrick O'Sullivan	180	86	February 1, 1985	Toronto , Canada	Edmonton Oilers
C	8	Joe Pavelski	180	88	July 11, 1984	Plover, Wisconsin	San Jose Sharks
C	22	Lee Stempniak	183	88	February 4, 1983	West Seneca, New York	Toronto Maple Leafs
RW	42	David Backes	188	98	May 1, 1984	Minneapolis, Minnesota	St. Louis Blues
RW	23	Dustin Brown	187	82	November, 4 1984	Ithaca, New York	Los Angeles Kings
RW	9	Kyle Okposo	185	91	April 16, 1988	St. Paul, Minnesota	New York Islanders
RW	26	Ryan Shannon	175	78	March 2, 1983	Darien, Connecticut	Ottawa Senators
RW	21	Drew Stafford	188	92	October 30, 1985	Milwaukee, Wisconsin	Buffalo Sabres
