Place	Rider	Country	Machine	Speed	Time	Points
1	Chas Mortimer	United Kingdom	Yamaha	87.49mph	1:17.38.2	15
2	Charlie Williams	United Kingdom	Yamaha	80.49mph	1:24.23.0	12
3	Billy Rae	United Kingdom	Maico	79.29mph	1:25.39.8	10
4	Lindsay Porter	United Kingdom	Honda	78.63mph	1:26.30.0	8
5	Ron Hackett	United Kingdom	Honda	76.55mph	1:28.44.0	6
6	Ralph Watts	United Kingdom	Honda	76.40mph	1:28.54.0	5
7	Fred Launchbury	United Kingdom	Maico	75.75mph	1:29.40.60	4
8	Leigh Notman	United Kingdom	Yamaha	75.74mph	1:29.41.40	3
9	A.Morris	United Kingdom	Yamaha	75.70mph	1:29.43.60	2
10	M.Evans	United Kingdom	Yamaha	75.23mph	1:30.17.40	1
