Series	Date	Entrants	Winner	First Prize
FTOPS I	August 2006	1,468	Crownnginger	$161,480
FTOPS II	November 2006	2,449	Spiked	$224,653
FTOPS III	February 2007	3,217	Traheho (Alec Torelli)	$288,001
FTOPS IV	May 2007	3,798	John_McClane17	$336,217
FTOPS V	August 2007	4,578	CrazyZachary (Zachary Clark)	$395,905
FTOPS VI	November 2007	4,371	fkscreennames (Daryl Jace)	$385,937
FTOPS VII	February 2008	5,291	Reverse (Allen Goldstein)	$456,401
FTOPS VIII	May 2008	4,750	cheesemonster (Keith Lehr)	$410,780
FTOPS IX	August 2008	4,880	dubbeemin (Brian Mintz)	$432,400
FTOPS X	November 2008	5,225	Julian Verse (Va Shon Watkins)	$450,708
FTOPS XI	February 2009	5,287	csimmsux (Adam Geyer)	$456,056
FTOPS XII	May 2009	4,581	Pocketownage420	$432,400
FTOPS XIII	August 2009	5,306	Poligraph (Matthew Waxman)	$453,663
FTOPS XIV	November 2009	5,471	zhivago2 (Heinz Kamutzki)	$418,839
FTOPS XV	February 2010	5,645	JackQKA	$237,644 (7-way deal)
FTOPS XVI	May 2010	4,534	Kirbynator	$327,057.40 (3-way deal)
FTOPS XVII	August 2010	4,805	TyboVegas	$423,057.41 (2-way deal)
FTOPS XVIII	November 2010	5,023	JHoWn	$411,932.13 (3-way deal)
FTOPS XIX	February 2011	14,479	GIAMPP	$877,949.74 (3-way deal)
FTOPS XX	May 2011	4,666	ArielBahia (Ariel Celestino)	$346,696 (4-way deal)
FTOPS XXI	December 2012	4,766	yadio1111 (Yann Dion)	$453,229.40 (2-way deal)
FTOPS XXII	March 2013	3,653	feel fine	$392,332.20
FTOPS XXIII	August 2013	3,327	Itahaschi	$270,828.43 (3-way deal)
