Tournament	1990	1991	1992	1993	1994	1995	1996	1997	1998	Career SR	Career Win-Loss
Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams
Australian Open	2R	1R	2R	2R	2R	A	2R	A	A	0 / 6	5–6
French Open	W	3R	1R	QF	QF	2R	A	1R	A	2 / 12	25–10
Wimbledon	A	A	A	A	A	A	A	2R	A	0 / 5	10–5
US Open	2R	3R	QF	1R	2R	SF	A	A	A	1 / 10	21–9
Grand Slam SR	1 / 3	0 / 3	0 / 3	0 / 3	0 / 3	0 / 2	0 / 1	0 / 2	0 / 0	3 / 33	N/A
Annual Win-Loss	8–2	4–3	4–3	4–3	5–3	5–2	1–1	1–2	0–0	N/A	61–30
ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series
Indian Wells	1R	2R	2R	2R	1R	1R	1R	A	A	0 / 7	2–7
Key Biscayne	QF	QF	2R	3R	2R	2R	2R	1R	A	0 / 8	7–8
Monte Carlo	2R	SF	2R	SF	SF	2R	1R	A	A	0 / 7	9–6
Rome	W	QF	1R	2R	1R	A	2R	A	A	1 / 6	9–5
Hamburg	2R	W	W	SF	2R	A	A	A	A	2 / 5	13–3
Montreal / Toronto	A	A	A	A	A	A	A	A	A	0 / 0	0–0
Cincinnati	A	1R	A	A	A	A	A	A	A	0 / 1	0–1
Madrid (Stuttgart)	1R	A	A	A	A	A	A	A	A	0 / 1	0–1
Paris	2R	A	2R	A	A	A	A	A	A	0 / 2	0–2
Masters Series SR	1 / 7	1 / 6	1 / 6	0 / 5	0 / 5	0 / 3	0 / 4	0 / 1	0 / 0	3 / 37	N/A
Annual Win-Loss	8–6	10–5	6–5	9–5	4–5	1–3	2–3	0–1	0–0	N/A	40–33
Year End Ranking	9	13	22	24	29	34	75	208	821	N/A	N/A
