Season	Series	Team	Races	Wins	Poles	F/Laps	Podiums	Points	Position
2005	South American Formula Three	Dragão Motorsport	18	2	2	4	6	52	6th
2005	ian Brazil Formula Renault 2.0	Dragão Motorsport	13	0	0	0	0	68	10th
2006	South American Formula Three	Razia Sports	16	7	6	7	11	99	1st
2006	F3000 International Masters	Charouz Racing System	3	3	0	2	3	30	8th
2007	Euroseries 3000	Fisichella Motor Sport	16	0	1	1	4	57	3rd
2007	Euroseries 3000	ELK Motorsport	16	0	1	1	4	57	3rd
2007	Italian Formula 3000	Fisichella Motor Sport	8	0	0	0	2	26	4th
2007	Italian Formula 3000	ELK Motorsport	8	0	0	0	2	26	4th
2007	Formula Renault 3.5 Series	GD Racing	4	0	0	0	0	0	38th
2008	Euroseries 3000	ELK Motorsport	13	2	1	1	5	52	4th
2008	Italian Formula 3000	ELK Motorsport	8	1	0	1	3	32	4th
2008–09	GP2 Asia Series	Trust Team Arden	11	1	0	0	1	9	13th
2009	GP2 Series	Fisichella Motor Sport	18	1	0	1	1	8	19th
2009	GP2 Series	Scuderia Coloni	18	1	0	1	1	8	19th
2009–10	GP2 Asia Series	Barwa Addax	4	0	0	0	0	0	26th
2009–10	GP2 Asia Series	Rapax Team	4	0	0	0	0	0	26th
2010	GP2 Series	Rapax Team	20	0	0	1	3	28	11th
2010	Formula One	Virgin Racing	Test driver	Test driver	Test driver	Test driver	Test driver	Test driver	Test driver
2011	GP2 Series	Caterham Team AirAsia	18	0	1	0	2	19	12th
2011	GP2 Final	Caterham Team AirAsia	2	0	0	1	1	9	3rd
2011	GP2 Asia Series	Team AirAsia	4	0	0	0	0	0	25th
2011	Formula One	Team Lotus	Test driver	Test driver	Test driver	Test driver	Test driver	Test driver	Test driver
2012	GP2 Series	Arden International	24	4	0	3	9	222	2nd
