Rank	Nation	Gold	Silver	Bronze	Total
1	Soviet Union (URS)	39	38	17	94
2	Japan (JPN)	28	29	32	89
3	United States (USA)	23	19	18	60
4	Switzerland (SUI)	16	19	13	48
5	Italy (ITA)	14	4	8	26
6	Germany (GER)	11	7	11	29
7	China (CHN)	10	10	6	26
8	Finland (FIN)	8	5	12	25
9	Hungary (HUN)	7	5	4	16
10	Unified Team (EUN)	6	4	2	12
11	Yugoslavia (YUG)	5	2	4	11
12	Russia (RUS)	4	3	6	13
13	Greece (GRE)	4	3	2	9
14	Sweden (SWE)	4	1	0	5
15	Czechoslovakia (TCH)	3	7	9	19
16	East Germany (GDR)	3	3	10	16
17	France (FRA)	2	9	7	18
18	Bulgaria (BUL)	2	2	5	9
19	Ukraine (UKR)	2	1	2	5
20	Spain (ESP)	2	0	0	2
21	Romania (ROU)	1	4	4	9
22	Denmark (DEN)	1	2	1	4
22	Norway (NOR)	1	2	1	4
24	Latvia (LAT)	1	1	0	2
25	Unified Team of Germany (EUA)	1	0	1	2
26	Canada (CAN)	1	0	0	1
26	North Korea (PRK)	1	0	0	1
28	South Korea (KOR)	0	3	4	7
29	Belgium (BEL)	0	1	1	2
29	Great Britain (GBR)	0	1	1	2
29	Poland (POL)	0	1	1	2
32	Belarus (BLR)	0	0	4	4
33	West Germany (FRG)	0	0	1	1
