Player	No.(s)	Height in Ft.	Position	Years for Rockets	School/Club Team/Country
Haluska Adam Adam Haluska	50	6-5	Guard	2008	Iowa
Hamilton, Thomas Thomas Hamilton	30	7-2	Center	1999-2000	Pittsburgh
Harden James James Harden	13	6-5	Guard	2013-present	Arizona State
Harrington, Othella Othella Harrington	32	6-9	Forward	1996-99	Georgetown
Harris, Mike Mike Harris	19, 33	6-6	Forward	2008, 2010-11	Rice
Harris, Steve Steve Harris	20	6-5	Guard	1985-88	Tulsa
Hawes, Steve Steve Hawes	10	6-10	Forward / Center	1974-76	Washington
Hawkins, Juaquin Juaquin Hawkins	1	6-7	Forward	2002-03	Long Beach State
Hayes, Chuck Chuck Hayes	44	6-6	Forward / Center	2005-11	Kentucky
Hayes, Elvin Elvin Hayes	11, 44	6-9	Forward	1968-72, 1981-84	Houston
Head, Luther Luther Head	2	6-3	Guard	2005-09	Illinois
Heggs, Alvin Alvin Heggs	55	6-8	Forward	1995	Texas
Henderson, Gerald Gerald Henderson	9	6-2	Guard	1991	Virginia Commonwealth
Henderson, Tom Tom Henderson	6	6-3	Guard	1979-83	Hawaii
Henry, Conner Conner Henry	4	6-7	Guard	1986-87	UC Santa Barbara
Herrera, Carl Carl Herrera	7	6-9	Forward	1991-95	Houston
Hicks, Phil Phil Hicks	33	6-7	Forward	1976	Tulane
Hill, Jordan Jordan Hill	27	6-10	Forward	2010-2012	Arizona
Hollins, Lionel Lionel Hollins	9	6-3	Guard	1984-85	Arizona State
Horry, Robert Robert Horry	25	6-10	Forward	1992-96	Alabama
Howard, Juwan Juwan Howard	5	6-9	Forward	2004-07	Michigan
