District	Incumbent	Party	First elected	Result	Candidates
New York 7	John J. Delaney	Democratic	1931	Re-elected	John J. Delaney (D) 72.8% Harry Boyarsky (R) 27.2%
New York 10	Emanuel Celler	Democratic	1922	Re-elected	Emanuel Celler (D) 68.6% Jerome Lewis (R) 31.4%
New York 12	Samuel Dickstein	Democratic	1922	Re-elected	Samuel Dickstein (D) 87.0% Hyman Hecht (R) 13.0%
New York 13	Louis Capozzoli	Democratic	1940	Re-elected	Louis Capozzoli (D) 74.0% John Rosenberg (R) 26.0%
New York 17	Joseph C. Baldwin	Republican	1941	Re-elected	Joseph C. Baldwin (R) 61.0% Carl Sherman (D) 39.0%
New York 19	Sol Bloom	Democratic	1923	Re-elected	Sol Bloom (D) 67.5% Clarence McMillan (R) 32.5%
New York 20	Vito Marcantonio	Labor	1938	Re-elected	Vito Marcantonio ( American Labor ) Unopposed
New York 27	Lewis K. Rockefeller	Republican	1937	Retired Republican hold	Jay Le Fevre (R) 63.1% Sharon J. Mauhs (D) 36.9%
New York 29	E. Harold Cluett	Republican	1936	Retired Republican hold	Dean P. Taylor (R) 68.8% John T. Degnan (D) 31.2%
New York 36	John Taber	Republican	1922	Re-elected	John Taber (R) 62.6% Charles Osborne (D) 37.4%
New York 38	Joseph J. O'Brien	Republican	1938	Re-elected	Joseph J. O'Brien (R) 59.1% Walden Moore (D) 40.9%
New York 39	James Wolcott Wadsworth, Jr.	Republican	1932	Re-elected	James Wolcott Wadsworth, Jr. (R) Unopposed
