Airing date	English title (Chinese title)	Number of episodes	Genre	Official website
12 Jan- 6 Feb	A Tough Side of a Lady 花木蘭	20	Costume action	Official website
9 Feb- 6 Mar	A Place of One's Own 大澳的天空	20	Modern drama	Official website
9 Mar- 1 May	Dark Tales II 聊齋(貳)	50	Costume drama	Official website
4 May- 29 May	As Sure As Fate 師奶強人	20	Modern drama	Official website
1 Jun- 31 Jul	The Duke of Mount Deer 鹿鼎記	45	Costume drama	Official website
3 Aug- 4 Sep	Old Time Buddy - To Catch a Thief 難兄難弟之神探李奇	25	Period drama	Official website
7 Sep- 25 Sep	Simply Ordinary 林世榮	15	Costume drama	Official website
28 Sep- 23 Oct	Web of Love 網上有情人	20	Modern drama	Official website
26 Oct- 18 Dec	Journey to the West II 西遊記(貳)	42	Costume drama	Official website
21 Dec 1998- 15 Jan 1999	Moments of Endearment 外父唔怕做	20	Modern drama	Official website
