Main contestant	Co-contestant (Yaar vs. Pyaar)	Date performed	Scores by each individual judge	Total score/week	Position	Status
Hiten Tejwani	Nandini Singh	July 16	6 + 8 + 4 = 18	38/60	Safe	Current
Hiten Tejwani	Gauri Pradhan	July 17	6 + 7 + 7 = 20	38/60	Safe	Current
Kashmira Shah	Mukul Dev	July 16	9 + 9 + 9 = 27	52/60	Top 2	Current
Kashmira Shah	Krushna Abhishek	July 17	9 + 8 + 8 = 25	52/60	Top 2	Current
Amit Sareen	Aashka Goradia	July 16	6 + 6 + 5 = 17	34/60	Bottom 2	Eliminated
Amit Sareen	Vinisha Arora	July 17	5 + 6 + 6 = 17	34/60	Bottom 2	Eliminated
Vishal Singh	Dimple Jhangiani	July 16	8 + 8 + 5 = 21	37/60	Bottom 2	Current
Vishal Singh	Pranita Sahu	July 17	5 + 7 + 4 = 16	37/60	Bottom 2	Current
Karanvir Bohra	Tina Parekh	July 16	6 + 8 + 6 = 20	46/60	Top 2	Current
Karanvir Bohra	Teejay Sidhu	July 17	8 + 9 + 9 = 26	46/60	Top 2	Current
Jatin Shah	Shalini Chandran	July 16	6 + 5 + 7 = 18	39/60	Safe	Current
Jatin Shah	Priya Bhatija	July 17	7 + 6 + 8 = 21	39/60	Safe	Current
Mridul Singhvi	Wasna Ahmed	July 16	5 + 6 + 5 = 16	41/60	Safe	Current
