No.	Title	Directed by	Written by	Original air date	Production code	U.S. viewers (million)
1	" Pilot "	Danny Cannon	Craig Silverstein	September9,2010	276051	3.57
2	"2.0"	Danny Cannon	David Levinson & Craig Silverstein	September16,2010	3X6252	3.19
3	"Kill Jill"	David Solomon	Amanda Segel	September23,2010	3X6253	3.15
4	"Rough Trade"	Nick Copus	Carlos Coto	September30,2010	3X6254	2.68
5	"The Guardian"	David Solomon	Albert Kim	October7,2010	3X6255	2.90
6	"Resistance"	Guy Ferland	Kalinda Vazquez	October21,2010	3X6256	2.81
7	"The Recruit"	Eagle Egilsson	Amanda Segel	October28,2010	3X6257	2.48
8	"Phoenix"	David M. Barrett	Jim Barnes	November4,2010	3X6258	2.41
9	"One Way"	Ken Fink	Albert Kim	November11,2010	3X6259	2.33
10	"Dark Matter"	Danny Cannon	Carlos Coto	December2,2010	3X6260	2.30
11	"All the Way"	Terrence O'Hara	Craig Silverstein	December9,2010	3X6261	2.29
12	"Free"	Jonathan Glassner	Kalinda Vazquez	January27,2011	3X6262	2.62
13	"Coup de Grace"	Nathan Hope	Albert Kim	February3,2011	3X6263	2.40
14	"The Next Seduction"	David Solomon	Carlos Coto	February10,2011	3X6264	1.89
15	"Alexandra"	Ken Fink	Andrew Colville	February17,2011	3X6265	2.10
16	"Echoes"	Nick Copus	Kristen Reidel	February24,2011	3X6266	2.14
17	"Covenants"	Eagle Egilsson	Jim Barnes	April7,2011	3X6267	1.82
18	"Into the Dark"	Jeffrey Hunt	Albert Kim	April14,2011	3X6268	2.21
19	"Girl's Best Friend"	Robert Lieberman	Carlos Coto	April21,2011	3X6269	2.01
20	"Glass Houses"	Ralph Hemecker	Kalinda Vazquez	April28,2011	3X6270	1.72
21	"Betrayals"	Eagle Egilsson	Andrew Colville	May5,2011	3X6271	2.00
