Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	26–9	Steven Siler	KO (punches)	UFC Fight Night: Shogun vs. Sonnen	1	0:50	Boston, Massachusetts , United States
Win	26–8	Daniel Pineda	Decision (unanimous)	UFC 146	3	5:00	Las Vegas, Nevada , United States
Win	25–8	Nam Phan	Decision (unanimous)	UFC 133	3	5:00	Philadelphia, Pennsylvania , United States
Loss	24–8	Rani Yahya	Decision (unanimous)	UFC: Fight for the Troops 2	3	5:00	Fort Hood, Texas , United States
Loss	24–7	Diego Nunes	Decision (split)	UFC 125	3	5:00	Las Vegas, Nevada , United States
Win	24–6	Cole Province	TKO (punches)	WEC 51	1	1:18	Broomfield, Colorado , United States
Loss	23–6	Manny Gamburyan	KO (punches)	WEC 48	1	2:22	Sacramento, California , United States
Win	23–5	Anthony Morrison	Submission (rear naked choke)	WEC 46	1	1:54	Sacramento, California , United States
Loss	22–5	José Aldo	TKO (punches)	WEC 44	2	1:20	Las Vegas, Nevada , United States
Win	22–4	Urijah Faber	Decision (unanimous)	WEC 41	5	5:00	Sacramento, California , United States
Win	21–4	Leonard Garcia	Submission (arm-triangle choke)	WEC 39	1	1:57	Corpus Christi, Texas , United States
Win	20–4	Urijah Faber	TKO (punches)	WEC 36	1	2:23	Hollywood, Florida , United States
Win	19–4	Jeff Curran	Decision (unanimous)	WEC 34	3	5:00	Sacramento, California , United States
Win	18–4	Manny Reyes Jr.	Submission (rear naked choke)	PXF– Premier X-treme Fighting	1	1:46	Hollywood, Florida , United States
Win	17–4	Eben Oroz	TKO (punches)	HOOKnSHOOT– Bodog Fight	1	3:15	Evansville, Indiana , United States
Win	16–4	Yves Edwards	Decision (unanimous)	Bodog Fight– Clash of the Nations	3	5:00	Saint Petersburg , Russia
Win	15–4	Jason Bryant	TKO (punches)	AFC 19– Absolute Fighting Championships 19	1	1:26	Boca Raton, Florida , United States
Win	14–4	Rocky Long	Submission (rear-naked choke)	KE– Kick Enterprises	2	1:32	Fort Myers, Florida , United States
Win	13–4	Dustin Neace	Submission (guillotine choke)	AFC 18– Absolute Fighting Championships 18	1	0:50	Boca Raton, Florida , United States
Loss	12–4	Masakazu Imanari	Technical Submission (rolling kneelock)	DEEP– 22 Impact	2	3:38	Tokyo , Japan
Win	12–3	Takeshi Yamazaki	Decision (unanimous)	DEEP– 21st Impact	3	5:00	Tokyo , Japan
Win	11–3	Taiyo Nakahara	Submission (arm triangle choke)	GCM– D.O.G. 2	2	N/A	Tokyo , Japan
Win	10–3	Renato Tavares	Decision (unanimous)	AFC 10– Absolute Fighting Championships 10	3	5:00	Ft. Lauderdale, Florida , United States
Loss	9–3	Joe Lauzon	Submission (rear naked choke)	CZ 8– Street Justice	3	2:14	Revere, Massachusetts , United States
Loss	9–2	Genki Sudo	Submission (triangle/armbar)	UFC 47	1	3:31	Las Vegas, Nevada , United States
Win	9–1	Leigh Remedios	Decision (unanimous)	AFC 6– Absolute Fighting Championships 6	3	5:00	Ft. Lauderdale, Florida , United States
Win	8–1	Renat Mirzabekov	Submission (heel hook)	HFC 2– Hardcore Fighting Championships 2	1	2:38	Revere, Massachusetts , United States
Win	7–1	Mark Hominick	Submission (heel hook)	TFC 8– Hell Raiser	3	N/A	Toledo, Ohio , United States
Win	6–1	Shawn Graham	TKO (punches)	HFC 1– Hardcore Fighting Championships 1	2	1:05	Revere, Massachusetts , United States
Win	5–1	Mike Large	Submission (rear naked choke)	TFC 7– Fightzone 7	1	N/A	Toledo, Ohio , United States
Win	4–1	Bill Mahoney	Submission (rear naked choke)	MD 10– Mass Destruction 10	3	N/A	Swansea, Massachusetts , United States
Win	3–1	Edward Odquina	Submission (rear naked choke)	USMMA 1– Ring of Fury	1	N/A	Lowell, Massachusetts , United States
Loss	2–1	Hermes França	Submission (triangle choke)	HOOKnSHOOT– Kings 1	1	2:21	Evansville, Indiana , United States
Win	2–0	Vinny Brightman	Submission (rear naked choke)	MD 3– Mass Destruction 3	1	3:30	Swansea, Massachusetts , United States
Win	1–0	Jeff Darienzo	Submission (keylock)	MD 1– Mass Destruction 1	N/A	N/A	Swansea, Massachusetts , United States
