Name	Latitude	Longitude	Diameter (km)	Named after
Caccini	17.4	170.4	38.1	Francesca Caccini , Italian composer
Caitlin	-65.3	12	14.7	Irish first name
Caiwenji	-12.4	287.6	22.6	Cai Wenji , Chinese poet
Caldwell	23.6	112.4	51	Taylor Caldwell , American author
Callas	2.4	27	33.8	Maria Callas , American singer
Callirhoe	21.2	140.7	33.8	Callirhoe , Greek sculptor
Caroline	6.9	306.3	18	French first name
Carr	-24	295.7	31.9	Emily Carr , Canadian artist
Carreno	-3.9	16.1	57	Teresa Carreño , n Venezuela pianist
Carson	-24.2	344.1	38.8	Rachel Carson , American biologist
Carter	5.3	67.3	17.5	Maybelle Carter , American singer
Castro	3.4	233.9	22.9	Rosalía de Castro , Galician poet
Cather	47.1	107	24.6	Willa Cather , American novelist
Centlivre	19.1	290.4	28.8	Susanna Centlivre , English actress
Chapelle	6.4	103.8	22	Georgette Chapelle , American journalist
Chechek	-2.6	272.3	7.2	Tuvan first name
Chiyojo	-47.8	95.7	40.2	Chiyojo , Japanese poet
Chloe	-7.4	98.6	18.6	Greek first name
Cholpon	40	290	6.3	Kyrgyz first name
Christie	28.3	72.7	23.3	Agatha Christie , English author
Chubado	45.3	5.6	7	Fulbe first name
Clara	-37.5	235.3	3.2	Latin first name
Clementina	35.9	208.6	4	Portuguese form of Clementine, French first name
Cleopatra	65.8	7.1	105	Cleopatra , Egyptian queen
Cline	-21.8	317.1	38	Patsy Cline , American singer
Clio	6.3	333.5	11.4	Greek first name
Cochran	51.9	143.4	100	Jacqueline Cochran , American aviator
Cohn	-33.3	208.1	18.3	Carola Cohn , Australian artist
Colleen	-60.8	162.2	13.5	Irish first name
Comnena	1.2	343.7	19.5	Anna Comnena , Byzantine princess and writer
Conway	48.3	39	49.3	Lady Anne Finch Conway , English natural scientist
Cori	25.4	72.9	56.1	Gerty Cori , Czech biochemist
Corinna	22.9	40.6	19.2	Corinna , Greek poet
Corpman	0.3	151.8	46	Elizabeth Koopman Hevelius , astronomer
Cortese	-11.4	218.4	27.7	Isabella Cortese , Italian physician
Cotton	70.8	300.2	48.1	Eugénie Cotton , French physicist
Cunitz	14.5	350.9	48.6	Maria Cunitz , Silesian astronomer
Cynthia	-16.7	347.5	15.9	Greek first name
