Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
3	November 1	@ Denver	W 104–97 (OT)	Kobe Bryant (33)	Pau Gasol (16)	Derek Fisher (4)	Pepsi Center 19,651	3–0
4	November 5	L.A. Clippers	W 106–88 (OT)	Kobe Bryant (27)	Andrew Bynum (17)	Pau Gasol , Kobe Bryant , Derek Fisher (3)	Staples Center 18,997	4–0
5	November 9	Houston	W 111–82 (OT)	Kobe Bryant (23)	Pau Gasol (15)	Jordan Farmar (6)	Staples Center 18,997	5–0
6	November 11	@ Dallas	W 106–99 (OT)	Kobe Bryant (27)	Pau Gasol (11)	Derek Fisher , Andrew Bynum , Jordan Farmar (3)	American Airlines Center 20,391	6–0
7	November 12	@ New Orleans	W 93–86 (OT)	Kobe Bryant , Derek Fisher (20)	Lamar Odom (9)	Kobe Bryant (6)	New Orleans Arena 18,239	7–0
8	November 14	Detroit	L 95–106 (OT)	Kobe Bryant (29)	Pau Gasol (10)	Kobe Bryant , Pau Gasol (6)	Staples Center 18,997	7–1
9	November 18	Chicago	W 116–109 (OT)	Pau Gasol (34)	Andrew Bynum (9)	Kobe Bryant (6)	Staples Center 18,997	8–1
10	November 20	@ Phoenix	W 105–92 (OT)	Kobe Bryant (24)	Lamar Odom , Pau Gasol (9)	Pau Gasol (9)	US Airways Center 18,422	9–1
11	November 21	Denver	W 104–90 (OT)	Kobe Bryant (29)	Andrew Bynum (13)	Andrew Bynum (5)	Staples Center 18,997	10–1
12	November 23	Sacramento	W 118–108 (OT)	Kobe Bryant (24)	Trevor Ariza (11)	Kobe Bryant (6)	Staples Center 18,997	11–1
13	November 25	New Jersey	W 120–93 (OT)	Pau Gasol (26)	Pau Gasol (8)	Kobe Bryant , Trevor Ariza (4)	Staples Center 18,997	12–1
14	November 28	Dallas	W 114–107 (OT)	Kobe Bryant (35)	Andrew Bynum (10)	Kobe Bryant (5)	Staples Center 18,997	13–1
15	November 30	Toronto	W 112–99 (OT)	Pau Gasol (24)	Andrew Bynum , Lamar Odom (10)	Kobe Bryant (7)	Staples Center 18,997	14–1
