Year	Team	Co-Drivers	Class	Laps	Pos.	Class Pos.
1988	Silk Cut Jaguar Tom Walkinshaw Racing	Jan Lammers Johnny Dumfries	C1	394	1st	1st
1989	Silk Cut Jaguar Tom Walkinshaw Racing	John Nielsen Price Cobb	C1	215	DNF	DNF
1990	Silk Cut Jaguar Tom Walkinshaw Racing	Jan Lammers Franz Konrad	C1	355	2nd	2nd
1991	Silk Cut Jaguar Tom Walkinshaw Racing	Derek Warwick John Nielsen	C2	356	4th	4th
1992	Toyota Team Tom's	Jan Lammers Teo Fabi	C1	331	8th	5th
1993	Toyota Team Tom's	Pierre-Henri Raphanel Kenny Acheson	C1	212	DNF	DNF
1995	Harrods Mach One Racing David Price Racing	Derek Bell Justin Bell	GT1	296	3rd	2nd
1996	Harrods Mach One Racing David Price Racing	Olivier Grouillard Derek Bell	GT1	328	6th	5th
1997	David Price Racing	James Weaver Butch Leitzinger	GT1	236	DNF	DNF
1998	Panoz Motorsports	David Brabham Jamie Davies	GT1	335	7th	7th
1999	Audi Sport UK Ltd.	James Weaver Perry McCarthy	LMGTP	198	DNF	DNF
2000	Team Cadillac	Franck Lagorce Butch Leitzinger	LMP900	291	21st	11th
2001	Team Bentley	Eric van de Poele Butch Leitzinger	LMGTP	306	3rd	1st
2002	Team Bentley	Eric van de Poele Butch Leitzinger	LMGTP	362	4th	1st
2003	Racing for Holland	Jan Lammers John Bosch	LMP900	360	6th	4th
2004	Zytek Engineering	David Brabham Hayanari Shimoda	LMP1	167	DNF	DNF
2005	Creation Autosportif	Nicolas Minassian Jamie Campbell-Walter	LMP1	322	14th	7th
2006	Ray Mallock Ltd.	Mike Newton Thomas Erdos	LMP2	343	8th	1st
2007	Ray Mallock Ltd.	Mike Newton Thomas Erdos	LMP2	251	DNF	DNF
2008	Ray Mallock Ltd.	Mike Newton Thomas Erdos	LMP2	100	DNF	DNF
2010	RML	Mike Newton Thomas Erdos	LMP2	358	8th	3rd
