Restaurant Name	Original Name	Location	Chef	Designer	Still Open?
A Catered Affair's Cafe	N/A	Milton, ON	Lynn Crawford	Cherie Stinson	Yes
Cocina Lucero	Arre Burrito	Toronto, ON	Lynn Crawford	Cherie Stinson	Yes
Bacchus Roti	N/A	Toronto, ON	Brad Long	Meredith Heron	Yes
Bon Vivant	N/A	Toronto, ON	Massimo Capra	Glen Peloso	Yes
Church Street Diner	N/A	Toronto, ON	Lynn Crawford	Glen Peloso	Yes
County Fish and Chips	N/A	Port Credit, ON	Corbin Tomaszeski	Meredith Heron	Yes
De Great Iron Pot	N/A	Scarborough, ON	Corbin Tomaszeski	Cheryl Torrenueva	No
Earth Indian	N/A	North York, ON	Brad Long	Jonathan Furlong	Yes
Attilio's 1957	Gippino's	Toronto, ON	Michael Bonacini	Meredith Heron	Yes
Joe Boo's Cookoos	N/A	Thornhill, ON	Michael Bonacini	Glen Peloso	Yes
Cluck, Grunt and Low	Riviera	Toronto, ON	Lynn Crawford	Brenda Bent	No
Locavore	Slippery Boot	Toronto, ON	Brad Long	Meredith Heron	No
Tresca Trattoria	N/A	Richmond Hill, ON	Corbin Tomaszeski	Tracy Kundell	No
