Country	Territory	Name	Birth date	Death date
Denmark	Faroe Islands	Jóhannes Tauser	23 February 1902	12 January 2008
Denmark	Faroe Islands	Frederikke Maria Sigvardsen	2 July 1875	23 November 1980
Denmark	Greenland	Agnethe Fencker	24 October 1910	Jan.-June 2013
France	French Guiana	Eudoxie Baboul	1 October 1901	Living
France	Guadeloupe	Luce Maced	2 May 1886	25 February 2000
France	Martinique	Irénise Moulonguet	6 November 1900	28 May 2013
France	New Caledonia	Marie-Louise Lhuillier	26 June 1895	28 December 2007
France	Réunion	Julia Sinédia-Cazour	12 July 1892	6 October 2005
France	Réunion	Théophane Rifosta	6 September 1889	16 June 1999
France	Saint Barthélemy	Eugénie Blanchard	16 February 1896	4 November 2010
United States	Puerto Rico	Emiliano Mercado del Toro	21 August 1891	24 January 2007
United States	Puerto Rico	Ramona Trinidad Iglesias-Jordan	31 August 1889	29 May 2004
