No.	Title	Directed by	Written by	U.S. viewers (million)	Rank (week)	Original air date	Production code
1	"First Responders"	Davis Guggenheim	David Mamet	18.50	10	March7,2006	1ALF79
2	"Stress"	Guy Ferland	David Mamet	18.07	5	March14,2006	1ALF01
3	"200th Hour"	Steve Gomer	Sharon Lee Watson & Carol Flint	15.50	10	March21,2006	1ALF04
4	"True Believers"	Oz Scott	Shawn Ryan & Eric L. Haney	16.08	13	March28,2006	1ALF02
5	"Non-Permissive Environment"	Ron Lagomarsino	Lynn Mamet & Paul Redford	15.44	10	April4,2006	1ALF03
6	"Security"	David Mamet	David Mamet	14.12	12	April11,2006	1ALF06
7	"Dedication"	Helen Shaver	Paul Redford & Sharon Lee Watson	15.62	10	April18,2006	1ALF07
8	"SERE"	Steven DePaul	Lynn Mamet & Carol Flint	13.87	18	April25,2006	1ALF08
9	"Eating the Young"	J. Miller Tobin	Sterling Anderson	14.06	18	May2,2006	1ALF05
10	"Unannounced"	Bill L. Norton	Paul Redford & Emily Halpern	14.18	18	May9,2006	1AFL09
11	"Exposure"	Guy Norman Bee	Sharon Lee Watson & Dan Hindmarch	12.33	26	May9,2006	1ALF10
12	"Morale, Welfare and Recreation"	Félix Enríquez Alcalá	Sterling Anderson & Paul Redford	14.04	14	May16,2006	1ALF11
