Year	English title	Original title	Country	Director(s)
1980	My American Uncle	Mon oncle d'Amérique	France	Alain Resnais
1981	Pixote	Pixote: A lei do mais fraco	Brazil	Hector Babenco
1982	Time Stands Still	Megáll az idö	Hungary	Péter Gothár
1983	Fanny and Alexander	Fanny och Alexander	Sweden	Ingmar Bergman
1984	A Sunday in the Country	Un dimanche à la campagne	France	Bertrand Tavernier
1985	Ran	Ran	Japan/France	Akira Kurosawa
1986	The Decline of the American Empire	Le déclin de l'empire américain	Canada	Denys Arcand
1987	My Life as a Dog	Mitt liv som hund	Sweden	Lasse Hallström
1988	Women on the Verge of a Nervous Breakdown	Mujeres al borde de un ataque de nervios	Spain	Pedro Almodóvar
1989	Story of Women	Une affaire de femmes	France	Claude Chabrol
