Season	Series	Team	Races	Wins	Poles	F/Laps	Podiums	Points	Position
2008	Formula Renault 2.0 West European Cup	Boutsen Energy Racing	15	0	0	0	0	9	18th
2008	Eurocup Formula Renault 2.0	Boutsen Energy Racing	14	0	0	0	0	0	33rd
2009	Eurocup Formula Renault 2.0	Epsilon Euskadi	14	1	0	0	2	67	6th
2009	Formula Renault 2.0 West European Cup	Epsilon Euskadi	14	1	1	1	7	120	3rd
2010	Formula Renault 3.5 Series	International DracoRacing	17	1	0	0	4	60	7th
2010	British Formula Three Championship	ART Grand Prix	3	0	0	0	0	0	NC†
2011	Formula Renault 3.5 Series	ISR Racing	17	0	0	0	1	37	13th
2011	GP2 Asia Series	Racing Engineering	4	0	0	0	0	0	23rd
2011	GP2 Final	Racing Engineering	2	0	0	0	0	0	11th
2012	GP2 Series	Racing Engineering	24	0	0	0	2	60	12th
2012	Toyota Racing Series	M2 Competition	15	0	0	1	0	755	7th
