Number	Date	Pitcher	Team	Inning	Length
1	04-02-2001	Woody Williams	San Diego	5th	420'
2	04-12-2001	Adam Eaton	San Diego	4th	417'
3	04-13-2001	Jamey Wright	Milwaukee	1st	440'
4	04-14-2001	Jimmy Haynes	Milwaukee	5th	410'
5	04-15-2001	David Weathers	Milwaukee	8th	390'
6	04-17-2001	Terry Adams	Los Angeles	8th	417'
7	04-18-2001	Chan Ho Park	Los Angeles	7th	420'
8	04-20-2001	Jimmy Haynes	Milwaukee	4th	410'
9	04-24-2001	Jim Brower	Cincinnati	3rd	380'
10	04-26-2001	Scott Sullivan	Cincinnati	8th	430'
11	04-29-2001	Manny Aybar	Chicago Cubs	4th	370'
12	05-02-2001	Todd Ritchie	Pittsburgh	5th	420'
13	05-03-2001	Jimmy Anderson	Pittsburgh	1st	420'
14	05-04-2001	Bruce Chen	Philadelphia	6th	360'
15	05-11-2001	Steve Trachsel	New York Mets	4th	410'
16	05-17-2001	Chuck Smith	Florida	3rd	420'
17	05-18-2001	Mike Remlinger	Atlanta	8th	391'
18	05-19-2001	Odalis Pérez	Atlanta	3rd	416'
19	05-19-2001	Jose Cabrera	Atlanta	7th	440'
20	05-19-2001	Jason Marquis	Atlanta	8th	410'
21	05-20-2001	John Burkett	Atlanta	1st	415'
22	05-20-2001	Mike Remlinger	Atlanta	7th	436'
23	05-21-2001	Curt Schilling	Arizona	4th	430'
24	05-22-2001	Russ Springer	Arizona	9th	410'
25	05-24-2001	John Thomson	Colorado	3rd	400'
26	05-27-2001	Denny Neagle	Colorado	1st	390'
27	05-30-2001	Robert Ellis	Arizona	2nd	420'
28	05-30-2001	Robert Ellis	Arizona	6th	410'
29	06-01-2001	Shawn Chacón	Colorado	3rd	420'
30	06-04-2001	Bobby J. Jones	San Diego	4th	410'
31	06-05-2001	Wascar Serrano	San Diego	3rd	410'
32	06-07-2001	Brian Lawrence	San Diego	7th	450'
33	06-12-2001	Pat Rapp	Anaheim	1st	320'
34	06-14-2001	Lou Pote	Anaheim	6th	430'
35	06-15-2001	Mark Mulder	Oakland	1st	380'
36	06-15-2001	Mark Mulder	Oakland	6th	430'
37	06-19-2001	Adam Eaton	San Diego	5th	375'
38	06-20-2001	Rodney Myers	San Diego	8th	347'
39	06-23-2001	Darryl Kile	St. Louis	1st	380'
40	07-12-2001	Paul Abbott	Seattle	1st	429'
41	07-18-2001	Mike Hampton	Colorado	4th	320'
42	07-18-2001	Mike Hampton	Colorado	5th	360'
43	07-26-2001	Curt Schilling	Arizona	4th	375'
44	07-26-2001	Curt Schilling	Arizona	5th	370'
45	07-27-2001	Brian Anderson	Arizona	4th	440'
46	08-01-2001	Joe Beimel	Pittsburgh	1st	400'
47	08-04-2001	Nelson Figueroa	Philadelphia	6th	405'
48	08-07-2001	Danny Graves	Cincinnati	11th	430'
49	08-09-2001	Scott Winchester	Cincinnati	3rd	350'
50	08-11-2001	Joe Borowski	Chicago Cubs	2nd	396'
51	08-14-2001	Ricky Bones	Florida	6th	410'
52	08-16-2001	A. J. Burnett	Florida	4th	380'
53	08-16-2001	Vic Darensbourg	Florida	8th	430'
54	08-18-2001	Jason Marquis	Atlanta	8th	415'
55	08-23-2001	Graeme Lloyd	Montreal	9th	380'
56	08-27-2001	Kevin Appier	New York Mets	5th	375'
57	08-31-2001	John Thomson	Colorado	8th	400'
58	09-03-2001	Jason Jennings	Colorado	4th	435'
59	09-04-2001	Miguel Batista	Arizona	7th	420'
60	09-06-2001	Albie Lopez	Arizona	2nd	420'
61	09-09-2001	Scott Elarton	Colorado	1st	488'
62	09-09-2001	Scott Elarton	Colorado	5th	361'
63	09-09-2001	Todd Belitz	Colorado	11th	394'
64*	09-20-2001	Wade Miller	Houston	5th	410'
65	09-23-2001	Jason Middlebrook	San Diego	2nd	411'
66	09-23-2001	Jason Middlebrook	San Diego	4th	365'
67	09-23-2001	James Baldwin	Los Angeles	7th	360'
68	09-28-2001	Jason Middlebrook	San Diego	2nd	440'
69	09-29-2001	Chuck McElroy	San Diego	6th	435'
70	10-04-2001	Wilfredo Rodriguez	Houston	9th	480'
71	10-05-2001	Chan Ho Park	Los Angeles	1st	440'
72	10-05-2001	Chan Ho Park	Los Angeles	3rd	410'
73	10-07-2001	Dennis Springer	Los Angeles	1st	380'
