Game	Date	Opponent	Score	Location	Attendance	Record	Points
13	November 3	Tampa Bay Lightning	1–2 (OT)	Air Canada Centre	19301	1–7–5	7
14	November 6	@ Carolina Hurricanes	3–2	RBC Center	14164	2–7–5	9
15	November 7 †	Detroit Red Wings	5–1	Air Canada Centre	19303	3–7–5	11
16	November 10	Minnesota Wild	2–5	Air Canada Centre	19063	3–8–5	11
17	November 13	@ Chicago Blackhawks	2–3	United Center	21036	3–9–5	11
18	November 14	Calgary Flames	2–5	Air Canada Centre	19316	3–10–5	11
19	November 17	@ Ottawa Senators	2–3	Scotiabank Place	17406	3–11–5	11
20	November 19	@ Carolina Hurricanes	5–6 (SO)	RBC Centre	13502	3–11–6	12
21	November 21	Washington Capitals	2–1 (SO)	Air Canada Centre	19455	4–11–6	14
22	November 23	New York Islanders	3–4 (OT)	Air Canada Centre	19263	4–11–7	15
23	November 25	@ Tampa Bay Lightning	4–3	St. Pete Times Forum	15333	5–11–7	17
24	November 27	@ Florida Panthers	6–4	BankAtlantic Center	16101	6–11–7	19
