Driver	Constructor	Laps	Time/Retired	Grid
Alberto Ascari	Ferrari	90	2:53:28.5	1
Nino Farina	Ferrari	90	+ 40.1	2
Luigi Villoresi	Ferrari	90	+ 1:34.4	4
Mike Hawthorn	Cooper - Bristol	88	+ 2 laps	3
Robert Manzon	Gordini	87	+ 3 laps	8
Maurice Trintignant	Gordini	87	+ 3 laps	5
Duncan Hamilton	HWM - Alta	85	+ 5 laps	10
Lance Macklin	HWM - Alta	84	+ 6 laps	9
Chico Landi Jan Flinterman	Maserati	83	+ 7 laps	16
Ken Wharton	Frazer-Nash - Bristol	76	Wheel bearing	7
Stirling Moss	ERA	73	Engine	18
Dries van der Lof	HWM - Alta	70	Not Classified	14
Ken Downing	Connaught - Lea-Francis	27	Oil pressure	13
Charles de Tornaco	Ferrari	19	Engine	17
Paul Frère	Simca-Gordini - Gordini	15	Clutch	11
Jean Behra	Gordini	10	Electrical	6
Jan Flinterman	Maserati	7	Differential	15
Gino Bianco	Maserati	4	Axle	12
